Rider,Bike,Laps,Time,Grid
Ryuichi Kiyonari,Honda CBR1000RR,25.0,36:18.607,3.0
Troy Bayliss,Ducati 1098 F08,25.0,+0.137,1.0
Max Biaggi,Ducati 1098 RS 08,25.0,+0.180,7.0
Yukio Kagayama,Suzuki GSX-R1000,25.0,+5.733,9.0
Fonsi Nieto,Suzuki GSX-R1000,25.0,+6.499,10.0
Carlos Checa,Honda CBR1000RR,25.0,+6.984,11.0
Max Neukirchner,Suzuki GSX-R1000,25.0,+8.300,8.0
Troy Corser,Yamaha YZF-R1,25.0,+10.732,5.0
Jakub Smrz,Ducati 1098 RS 08,25.0,+16.547,4.0
Roberto Rolfo,Honda CBR1000RR,25.0,+16.569,19.0
Lorenzo Lanzi,Ducati 1098 RS 08,25.0,+18.366,14.0
Michel Fabrizio,Ducati 1098 F08,25.0,+22.308,12.0
Kenan Sofuoğlu,Honda CBR1000RR,25.0,+26.788,17.0
Gregorio Lavilla,Honda CBR1000RR,25.0,+26.856,13.0
Chris Walker,Honda CBR1000RR,25.0,+32.877,23.0
Karl Muggeridge,Honda CBR1000RR,25.0,+38.329,16.0
David Checa,Yamaha YZF-R1,25.0,+46.868,20.0
Makoto Tamada,Kawasaki ZX-10R,25.0,+48.417,25.0
Noriyuki Haga,Yamaha YZF-R1,25.0,+58.986,2.0
Vittorio Iannuzzo,Kawasaki ZX-10R,25.0,+1:06.028,26.0
Luca Morelli,Honda CBR1000RR,25.0,+1:09.376,29.0
Jason Pridmore,Honda CBR1000RR,25.0,+1:09.475,27.0
Christian Zaiser,Yamaha YZF-R1,25.0,+1:22.214,30.0
Régis Laconi,Kawasaki ZX-10R,22.0,Accident,22.0
Ayrton Badovini,Kawasaki ZX-10R,16.0,Retirement,21.0
Sébastien Gimbert,Yamaha YZF-R1,12.0,Retirement,18.0
Tom Sykes,Suzuki GSX-R1000,9.0,Retirement,6.0
Tristan Palmer,Yamaha YZF-R1,7.0,Retirement,28.0
Shuhei Aoyama,Honda CBR1000RR,3.0,Retirement,24.0
