Rank,Name,Headquarters,Primary industry,Market value ( USD million)
1.0,Exxon Mobil,United States,Oil and gas,429567.0
2.0,General Electric,United States,Conglomerate,363611.0
3.0,Microsoft,United States,Software industry,272912.0
4.0,Citigroup,United States,Banking,252857.0
5.0,AT&T,United States,Telecommunications,246206.0
6.0,Gazprom,Russia,Oil and gas,245911.0
7.0,Toyota Motor Corporation,Japan,Automotive,230832.0
8.0,Bank of America,United States,Banking,228177.0
9.0,Industrial and Commercial Bank of China,China,Banking,224788.0
10.0,Royal Dutch Shell,The Netherlands,Oil and gas,214018.0
