Team,Location,Venue,Capacity,Position in 2006
BATE,Borisov,City Stadium,5500.0,1
Dinamo Minsk,Minsk,"Dinamo, Minsk",41040.0,2
Shakhtyor,Soligorsk,Stroitel,5000.0,3
MTZ-RIPO,Minsk,Traktor,17600.0,4
Gomel,Gomel,"Central, Gomel",11800.0,5
Vitebsk,Vitebsk,"Central, Vitebsk",8300.0,6
Naftan,Novopolotsk,Atlant,6500.0,7
Darida,Minsk Raion,Darida,6000.0,8
Dinamo Brest,Brest,OSK Brestskiy,10080.0,9
Neman,Grodno,Neman,6300.0,10
Torpedo,Zhodino,"Torpedo, Zhodino",3020.0,11
Dnepr,Mogilev,"Spartak, Mogilev",11200.0,12
Minsk,Minsk,"Torpedo, Minsk",5200.0,"First league , 1"
Smorgon,Smorgon,Yunost,3500.0,"First league , 2"
