Records,Pct.,MRC Championships,Solo,Co-Champions,State Champions
11-3-0,0.786,1.0,0.0,1.0,0.0
152-58-6,0.718,10.0,5.0,5.0,0.0
40-16-0,0.714,1.0,1.0,0.0,0.0
115-53-0,0.685,8.0,6.0,2.0,0.0
14-7-0,0.667,1.0,0.0,1.0,0.0
201-102-4,0.661,9.0,6.0,3.0,1.0
88-45-6,0.655,6.0,4.0,2.0,2.0
89-72-0,0.553,5.0,3.0,2.0,0.0
43-41-0,0.512,1.0,0.0,1.0,0.0
86-82-0,0.512,3.0,1.0,2.0,0.0
192-189-3,0.504,10.0,6.0,4.0,0.0
13-15-0,0.464,0.0,0.0,0.0,0.0
154-227-2,0.404,5.0,2.0,3.0,1.0
142-226-1,0.386,6.0,4.0,2.0,0.0
61-122-4,0.337,1.0,1.0,0.0,0.0
112-264-8,0.299,3.0,3.0,0.0,0.0
