Year,Team,Co-Drivers,Class,Laps,Pos.,Class Pos.
1996.0,Viper Team Oreca,Philippe Gache Eric Hélary,GT1,283.0,21st,12th
1997.0,Viper Team Oreca,Philippe Gache Dominique Dupuy,GT2,263.0,DNF,DNF
1998.0,Viper Team Oreca,Pedro Lamy Tommy Archer,GT2,312.0,13th,2nd
1999.0,Viper Team Oreca,Karl Wendlinger Dominique Dupuy,GTS,325.0,10th,1st
2000.0,Viper Team Oreca,Karl Wendlinger Dominique Dupuy,GTS,333.0,7th,1st
2001.0,Team PlayStation,Karl Wendlinger Pedro Lamy,LMP900,298.0,4th,3rd
2002.0,PlayStation Team Oreca,Érik Comas Pedro Lamy,LMP900,359.0,5th,4th
2003.0,JML Team Panoz,Gunnar Jeannette Max Papis,LMP900,360.0,5th,3rd
2004.0,Corvette Racing,Oliver Gavin Jan Magnussen,GTS,345.0,6th,1st
2005.0,Corvette Racing,Oliver Gavin Jan Magnussen,GT1,349.0,5th,1st
2006.0,Corvette Racing,Oliver Gavin Jan Magnussen,GT1,355.0,4th,1st
2007.0,Corvette Racing,Oliver Gavin Max Papis,GT1,22.0,DNF,DNF
2008.0,Corvette Racing,Oliver Gavin Max Papis,GT1,341.0,15th,3rd
2009.0,Corvette Racing,Oliver Gavin Marcel Fässler,GT1,311.0,DNF,DNF
2010.0,Corvette Racing,Oliver Gavin Emmanuel Collard,GT2,255.0,DNF,DNF
2011.0,Corvette Racing,Tommy Milner Antonio García,GTE Pro,314.0,11th,1st
2012.0,AF Corse,Andrea Bertolini Marco Cioci,GTE Pro,326.0,22nd,4th
2013.0,AF Corse,Kamui Kobayashi Toni Vilander,GTE Pro,312.0,21st,5th
