Player,Touchdowns (5 points),Extra points 1 point,Field goals (4 points),Safeties (2 points),Total Points
Tom Hammond,15.0,35.0,2.0,0.0,118.0
Joe Curtis,15.0,30.0,0.0,0.0,105.0
John Garrels,7.0,8.0,0.0,0.0,43.0
Paul Magoffin,6.0,0.0,0.0,0.0,30.0
Harold Weeks,6.0,0.0,0.0,0.0,30.0
William Dennison Clark,4.0,0.0,0.0,0.0,20.0
Walter Graham,3.0,0.0,0.0,0.0,15.0
Jay Mack Love,3.0,0.0,0.0,0.0,15.0
Alfred Barlow,3.0,0.0,0.0,0.0,15.0
Frank Longman,3.0,0.0,0.0,0.0,15.0
William Embs,3.0,0.0,0.0,0.0,15.0
Harry Workman,3.0,0.0,0.0,0.0,15.0
Ted Stuart,2.0,0.0,0.0,0.0,10.0
Mason Rumney,2.0,0.0,0.0,0.0,10.0
Henry Schulte,2.0,0.0,0.0,0.0,5.0
Germany Schultz,1.0,0.0,0.0,0.0,5.0
Fred Norcross,1.0,0.0,0.0,0.0,5.0
Harry Patrick,1.0,0.0,0.0,0.0,5.0
Lewis Dunlap,1.0,0.0,0.0,0.0,5.0
na,0.0,0.0,0.0,1.0,2.0
