County,Per capita income,Median household income,Median family income,Population,Number of households
Lake,"$38,120","$78,948","$91,693",703462.0,241712.0
DuPage,"$37,849","$76,581","$92,423",916924.0,337132.0
McHenry,"$31,838","$76,482","$86,698",308760.0,109199.0
Monroe,"$31,091","$68,253","$80,832",32957.0,12589.0
Kendall,"$30,565","$79,897","$87,309",114736.0,38022.0
Will,"$29,811","$75,906","$85,488",677560.0,225256.0
Kane,"$29,480","$67,767","$77,998",515269.0,170479.0
Woodford,"$29,475","$65,890","$75,601",38664.0,14276.0
Cook,"$29,335","$53,942","$65,039",5194675.0,1966356.0
Illinois,"$28,782","$55,735","$68,236",12830632.0,4836972.0
Sangamon,"$28,394","$52,232","$66,917",197465.0,82986.0
McLean,"$28,167","$57,642","$77,093",169572.0,65104.0
Peoria,"$28,157","$49,747","$63,163",186494.0,75793.0
Grundy,"$27,895","$64,297","$75,000",50063.0,18546.0
Scott,"$27,530","$49,462","$64,412",5355.0,2214.0
United States,"$27,334","$51,914","$62,982",308745538.0,116716292.0
Tazewell,"$27,036","$54,232","$66,764",135394.0,54146.0
Putnam,"$27,004","$56,458","$68,875",6006.0,2509.0
Jo Daviess,"$26,819","$50,279","$60,381",22678.0,9753.0
Piatt,"$26,492","$55,752","$65,850",16729.0,6782.0
Menard,"$26,281","$56,230","$65,882",12705.0,5140.0
Madison,"$26,127","$51,941","$64,630",269282.0,108094.0
Boone,"$26,105","$61,210","$69,380",54165.0,18505.0
Carroll,"$25,914","$44,805","$55,341",15387.0,6622.0
Clinton,"$25,392","$55,278","$66,682",37762.0,14005.0
Mercer,"$25,332","$50,909","$62,025",16434.0,6734.0
Stark,"$25,311","$49,195","$62,681",5994.0,2425.0
Rock Island,"$25,071","$46,226","$58,962",147546.0,61303.0
Marshall,"$24,991","$49,116","$64,781",12640.0,5161.0
LaSalle,"$24,982","$51,705","$62,252",113924.0,45347.0
Ogle,"$24,959","$55,733","$64,927",53497.0,20856.0
Henry,"$24,915","$49,164","$61,467",50486.0,20373.0
Washington,"$24,846","$51,440","$64,171",14716.0,5926.0
Effingham,"$24,843","$49,509","$61,373",34242.0,13515.0
St. Clair,"$24,770","$48,562","$61,042",270056.0,105045.0
Macon,"$24,726","$44,337","$57,570",110768.0,45855.0
Champaign,"$24,553","$45,262","$65,785",201081.0,80665.0
Lee,"$24,440","$48,502","$60,759",36031.0,13758.0
Jersey,"$24,368","$53,470","$64,773",22985.0,8828.0
Bond,"$24,341","$51,946","$60,786",17768.0,6427.0
DeWitt,"$24,320","$45,347","$56,806",16561.0,6811.0
Adams,"$24,308","$43,824","$55,791",67103.0,27375.0
DeKalb,"$24,179","$54,002","$70,713",105160.0,38484.0
Bureau,"$24,103","$45,692","$55,217",34978.0,14262.0
Winnebago,"$24,008","$47,198","$59,814",295266.0,115501.0
Mason,"$23,427","$42,461","$51,348",14666.0,6079.0
Whiteside,"$23,405","$45,266","$54,242",58498.0,23740.0
Ford,"$23,401","$48,667","$62,819",14081.0,5676.0
Iroquois,"$23,400","$47,323","$56,541",29718.0,11956.0
Wabash,"$23,350","$46,026","$55,611",11947.0,5012.0
Livingston,"$23,259","$50,500","$60,933",38950.0,14613.0
Morgan,"$23,244","$44,645","$59,185",35547.0,14104.0
Macoupin,"$23,222","$47,178","$59,700",47765.0,19381.0
Clark,"$23,173","$43,597","$52,689",16335.0,6782.0
Calhoun,"$23,109","$44,891","$57,627",5089.0,2085.0
Moultrie,"$22,954","$46,364","$54,494",14846.0,5758.0
Kankakee,"$22,888","$50,484","$59,998",113449.0,41511.0
Hancock,"$22,885","$42,857","$55,162",19104.0,8040.0
Richland,"$22,874","$41,917","$53,853",16233.0,6726.0
Stephenson,"$22,608","$43,304","$54,224",47711.0,19845.0
Henderson,"$22,492","$43,450","$55,154",7331.0,3149.0
Edgar,"$22,175","$39,904","$51,588",18576.0,7839.0
Williamson,"$22,164","$40,579","$50,929",66357.0,27421.0
Greene,"$22,107","$41,450","$52,049",13886.0,5570.0
White,"$22,081","$39,728","$48,666",14665.0,6313.0
Logan,"$22,063","$48,999","$63,245",30305.0,11070.0
Shelby,"$21,891","$44,627","$55,655",22363.0,9216.0
Montgomery,"$21,700","$40,864","$56,945",30104.0,11652.0
Fayette,"$21,663","$41,269","$51,216",22140.0,8311.0
Hamilton,"$21,602","$35,032","$50,878",8457.0,3489.0
Crawford,"$21,545","$41,434","$51,218",19817.0,7763.0
Gallatin,"$21,537","$38,003","$48,892",5589.0,2403.0
Christian,"$21,519","$41,712","$52,680",34800.0,14055.0
Wayne,"$21,493","$39,207","$47,879",16760.0,7102.0
Jasper,"$21,467","$46,546","$53,034",9698.0,3940.0
Douglas,"$21,438","$46,941","$60,352",19980.0,7720.0
Jefferson,"$21,370","$41,161","$51,262",38827.0,15365.0
Cumberland,"$21,262","$42,101","$51,729",11048.0,4377.0
Edwards,"$21,113","$40,430","$51,337",6721.0,2840.0
Knox,"$20,908","$39,545","$51,740",52919.0,21535.0
Saline,"$20,903","$35,644","$46,314",24913.0,10379.0
Clay,"$20,802","$38,016","$48,659",13815.0,5697.0
Schuyler,"$20,649","$43,686","$51,654",7544.0,3040.0
Coles,"$20,601","$36,457","$54,170",53873.0,21463.0
Marion,"$20,493","$38,974","$50,518",39437.0,16148.0
Fulton,"$20,309","$41,268","$50,596",37069.0,14536.0
Vermilion,"$20,218","$39,456","$49,429",81625.0,32655.0
Massac,"$20,216","$41,077","$51,794",15429.0,6362.0
Pope,"$20,134","$39,672","$51,500",4470.0,1829.0
Warren,"$20,047","$41,636","$49,623",17707.0,6918.0
Pike,"$19,996","$40,205","$50,426",16430.0,6639.0
Randolph,"$19,950","$45,020","$55,113",33476.0,12314.0
Cass,"$19,825","$41,544","$51,624",13642.0,5270.0
Union,"$19,512","$39,760","$48,465",17808.0,7167.0
Lawrence,"$19,297","$38,771","$45,565",16833.0,6130.0
Jackson,"$19,294","$32,169","$50,787",60218.0,25538.0
Hardin,"$18,515","$27,578","$38,576",4320.0,1915.0
Franklin,"$18,504","$34,381","$43,170",39561.0,16617.0
