Year,Tournaments played,Cuts made*,Wins,2nd,3rd,Top 10s,Best finish,Earnings ( $ ),Money list rank,Scoring average,Scoring rank
2004.0,2.0,1.0,0.0,0.0,0.0,1.0,T8,n/a,n/a,72.60,n/a
2005.0,2.0,1.0,0.0,0.0,0.0,1.0,5,n/a,n/a,71.00,n/a
2006.0,2.0,2.0,0.0,0.0,0.0,0.0,T35,"5,406",n/a,73.86,n/a
2007.0,26.0,18.0,0.0,1.0,0.0,2.0,T2,"380,263",37,73.19,72
2008.0,26.0,22.0,1.0,0.0,1.0,7.0,1,"1,138,370",8,71.78,26
2009.0,23.0,16.0,0.0,0.0,0.0,2.0,T5,"271,303",50,72.55,67
2010.0,19.0,19.0,0.0,1.0,1.0,11.0,2,"825,477",11,70.83,9
2011.0,16.0,15.0,0.0,0.0,0.0,3.0,T6,"365,231",31,72.00,27
2012.0,24.0,23.0,2.0,6.0,1.0,12.0,1,"2,287,080",1,70.21,1
2013.0,21.0,20.0,6.0,0.0,1.0,9.0,1,"2,335,460",1,69.934,3
