Player,Club,League,FA Cup,FA Trophy,League Cup,Total
Steve Butler,Maidstone United,26.0,0.0,0.0,1.0,27.0
Mark Gall,Maidstone United,26.0,2.0,0.0,1.0,29.0
Chris Camden,Stafford Rangers,23.0,9.0,0.0,2.0,34.0
Mark Carter,Runcorn,23.0,0.0,0.0,1.0,24.0
Ken Charlery,Maidstone United,22.0,4.0,0.0,0.0,26.0
Steve Burr,Macclesfield Town,21.0,0.0,5.0,0.0,26.0
Don Page,Runcorn,21.0,1.0,0.0,3.0,25.0
Paul Davies,Kidderminster Harriers,20.0,1.0,0.0,4.0,25.0
Lenny Dennis,Sutton United,20.0,3.0,1.0,5.0,29.0
Mark West,Wycombe Wanderers,20.0,4.0,2.0,0.0,26.0
Ronnie Ellis,Altrincham,18.0,2.0,0.0,0.0,20.0
Derrick Parker,Northwich Victoria,18.0,2.0,2.0,0.0,22.0
Phil Power,Chorley,16.0,1.0,0.0,0.0,17.0
Guy Whittingham,Yeovil Town,16.0,0.0,0.0,0.0,16.0
Chris Cook,Boston United,15.0,6.0,1.0,1.0,23.0
Dean Neal,Fisher Athletic,15.0,6.0,0.0,0.0,21.0
Paul Wilson,Boston United,15.0,5.0,1.0,0.0,21.0
Frank Murphy,Barnet,14.0,2.0,0.0,2.0,18.0
Malcolm O'Connor,Northwich Victoria,14.0,6.0,1.0,1.0,22.0
Gary Abbott,Enfield,13.0,4.0,1.0,0.0,18.0
Phil Derbyshire,Macclesfield Town,13.0,0.0,0.0,0.0,13.0
Ernie Moss,Kettering Town,13.0,1.0,3.0,0.0,17.0
