Driver,Constructor,Laps,Time/Retired,Grid
Mario Andretti,Lotus - Ford,80.0,1:51:35.470,2.0
Niki Lauda,Ferrari,80.0,+ 0.773 s,1.0
Jody Scheckter,Wolf - Ford,80.0,+ 4.857 s,3.0
Patrick Depailler,Tyrrell - Ford,80.0,+ 1:14.487,12.0
Emerson Fittipaldi,Fittipaldi - Ford,80.0,+ 1:20.908,7.0
Jean-Pierre Jarier,Penske - Ford,79.0,+ 1 Lap,9.0
James Hunt,McLaren - Ford,79.0,+ 1 Lap,8.0
Gunnar Nilsson,Lotus - Ford,79.0,+ 1 Lap,16.0
Jacques Laffite,Ligier - Matra,78.0,Electrical,5.0
Brian Henton,March - Ford,77.0,+ 3 Laps,18.0
Hans Binder,Surtees - Ford,77.0,+ 3 Laps,19.0
Ronnie Peterson,Tyrrell - Ford,62.0,Fuel System,10.0
Clay Regazzoni,Ensign - Ford,57.0,Gearbox,13.0
Hans Joachim Stuck,Brabham - Alfa Romeo,53.0,Brakes,17.0
Alan Jones,Shadow - Ford,40.0,Gearbox,14.0
Jochen Mass,McLaren - Ford,39.0,Handling,15.0
John Watson,Brabham - Alfa Romeo,33.0,Illegal push start,6.0
Renzo Zorzi,Shadow - Ford,27.0,Gearbox,20.0
Alex Ribeiro,March - Ford,15.0,Gearbox,22.0
Carlos Reutemann,Ferrari,5.0,Accident,4.0
Brett Lunger,March - Ford,4.0,Accident,21.0
Vittorio Brambilla,Surtees - Ford,0.0,Accident,11.0
