Name,Number,Released,Film,Pieces
Motorcycle Chase,7620.0,2008.0,Indiana Jones and the Last Crusade,79.0
The Lost Tomb,7621.0,2008.0,Raiders of the Lost Ark,277.0
Race for the Stolen Treasure,7622.0,2008.0,Raiders of the Lost Ark,272.0
Temple Escape,7623.0,2008.0,Raiders of the Lost Ark,552.0
Jungle Duel,7624.0,2008.0,Indiana Jones and the Kingdom of the Crystal Skull,90.0
River Chase,7625.0,2008.0,Indiana Jones and the Kingdom of the Crystal Skull,234.0
Jungle Cutter,7626.0,2008.0,Indiana Jones and the Kingdom of the Crystal Skull,511.0
Temple of the Crystal Skull,7627.0,2008.0,Indiana Jones and the Kingdom of the Crystal Skull,929.0
Peril in Peru,7628.0,2008.0,Indiana Jones and the Kingdom of the Crystal Skull,625.0
Jungle Cruiser,20004.0,2008.0,Indiana Jones and the Kingdom of the Crystal Skull,83.0
Shanghai Chase,7682.0,2009.0,Indiana Jones and the Temple of Doom,244.0
Fight on the Flying Wing,7683.0,2009.0,Raiders of the Lost Ark,376.0
Ambush in Cairo,7195.0,2009.0,Raiders of the Lost Ark,79.0
Chauchilla Cemetery Battle,7196.0,2009.0,Indiana Jones and the Kingdom of the Crystal Skull,189.0
Venice Canal Chase,7197.0,2009.0,Indiana Jones and the Last Crusade,420.0
Fighter Plane Attack,7198.0,2009.0,Indiana Jones and the Last Crusade,339.0
The Temple of Doom,7199.0,2009.0,Indiana Jones and the Temple of Doom,654.0
