Round,Pick,Player,Position,School
1.0,14.0,Renaldo Turnbull,DE,West Virginia
2.0,44.0,Vince Buck,DB,Central State
3.0,71.0,Joel Smeenge,DE,Western Michigan
4.0,98.0,DeMond Winston,LB,Vanderbilt
5.0,125.0,Charles Arbuckle,TE,UCLA
6.0,156.0,Mike Buck,QB,Maine
6.0,158.0,James Williams,LB,Mississippi State
7.0,183.0,Scott Hough,G,Maine
8.0,207.0,Gerry Gdowski,QB,Nebraska
8.0,210.0,Derrick Carr,DE,Bowling Green
9.0,233.0,Broderick Graves,RB,Winston-Salem State
9.0,236.0,Lonnie Brockman,LB,West Virginia
10.0,260.0,Gary Cooper,WR,Clemson
10.0,267.0,Ernest Spears,DB,USC
11.0,287.0,Webbie Burnett,DT,Western Kentucky
12.0,320.0,Chris Port,G,Duke
