Place,Team,Played,Draw,Lost,Goals Scored,Goals Conceded,Points
1.0,C.D. FAS,18.0,5.0,4.0,31.0,14.0,32.0
2.0,C.D. Águila,18.0,5.0,4.0,28.0,23.0,32.0
3.0,C.D. Municipal Limeño,18.0,3.0,6.0,31.0,22.0,30.0
4.0,C.D. Luis Ángel Firpo,18.0,7.0,5.0,21.0,15.0,25.0
5.0,C.D. Atlético Balboa,18.0,6.0,6.0,28.0,27.0,24.0
6.0,Atlético Marte,18.0,5.0,7.0,29.0,33.0,23.0
7.0,Alianza F.C.,18.0,5.0,7.0,26.0,32.0,23.0
8.0,C.D. Dragón,18.0,7.0,7.0,17.0,28.0,19.0
9.0,ADET,18.0,6.0,8.0,23.0,27.0,15.0
10.0,C.D. San Luis,18.0,5.0,9.0,13.0,26.0,17.0
