Position,Team,Played,Drawn,Lost,Goals For,Goals Against,Goal Difference,Points 1
1.0,Leek Town,42.0,8.0,8.0,70.0,31.0,+39,86
2.0,Droylsden,42.0,6.0,9.0,81.0,46.0,+35,80 2
3.0,Accrington Stanley,42.0,10.0,10.0,80.0,53.0,+27,76
4.0,Whitley Bay,42.0,11.0,10.0,93.0,59.0,+38,74
5.0,Emley,42.0,9.0,13.0,70.0,42.0,+28,69
6.0,Congleton Town,42.0,12.0,10.0,65.0,53.0,+12,69 3
7.0,Winsford United,42.0,10.0,14.0,65.0,53.0,+12,64
8.0,Curzon Ashton,42.0,11.0,14.0,66.0,60.0,+6,62
9.0,Harrogate Town,42.0,9.0,16.0,68.0,62.0,+6,60
10.0,Lancaster City,42.0,14.0,13.0,73.0,54.0,+19,59
11.0,Eastwood Town,42.0,11.0,15.0,61.0,64.0,−3,58
12.0,Farsley Celtic,42.0,6.0,19.0,71.0,76.0,−5,57
13.0,Rossendale United,42.0,9.0,18.0,73.0,69.0,+4,54
14.0,Newtown,42.0,12.0,16.0,49.0,62.0,−13,54
15.0,Irlam Town,42.0,11.0,17.0,61.0,66.0,−5,53
16.0,Workington,42.0,8.0,20.0,56.0,64.0,−8,50
17.0,Radcliffe Borough,42.0,7.0,21.0,47.0,62.0,−15,49
18.0,Alfreton Town,42.0,8.0,21.0,59.0,85.0,−26,47
19.0,Worksop Town,42.0,5.0,24.0,56.0,95.0,−39,44
20.0,Netherfield,42.0,6.0,25.0,56.0,89.0,−33,39
21.0,Eastwood Hanley,42.0,6.0,26.0,45.0,76.0,−31,36
22.0,Penrith,42.0,9.0,24.0,44.0,88.0,−44,36
