Year,Starts,Wins,Top 5,Top 10,Poles,Avg. Start,Avg. Finish,Winnings,Position,Team(s)
1989.0,1.0,0.0,0.0,0.0,0.0,15.0,30.0,$500,98th,#16 Day Enterprise Racing
1990.0,2.0,0.0,0.0,0.0,0.0,28.5,31.0,"$1,275",81st,#16 Day Enterprise Racing
1991.0,29.0,1.0,6.0,9.0,1.0,16.0,16.2,"$104,799",13th,#8 FILMAR Racing #62 Linville Racing
1993.0,28.0,0.0,6.0,16.0,0.0,15.1,12.8,"$225,747",3rd,#44 Labonte Motorsports
1994.0,28.0,1.0,10.0,14.0,9.0,9.7,11.6,"$391,670",1st,#44 Labonte Motorsports
1995.0,26.0,1.0,4.0,6.0,4.0,11.2,20.2,"$274,628",12th,#44 Labonte Motorsports
1996.0,26.0,2.0,13.0,18.0,4.0,6.7,9.3,"$469,118",2nd,#95 American Equipment Racing
1998.0,19.0,0.0,7.0,8.0,0.0,15.9,17.3,"$294,945",26th,#92 Martin Racing #36 Team 34
1999.0,17.0,0.0,1.0,7.0,1.0,21.7,15.5,"$220,370",27th,#41/#46 Larry Hedrick Motorsports
2000.0,32.0,0.0,2.0,11.0,0.0,18.2,20.6,"$759,269",9th,#34 Cicci-Welliver Racing
2001.0,33.0,0.0,0.0,6.0,0.0,20.0,18.7,"$725,334",13th,#34 Cicci-Welliver Racing
2003.0,34.0,3.0,11.0,21.0,2.0,9.8,11.1,"$1,721,860",2nd,#37 Brewco Motorsports
2004.0,34.0,0.0,6.0,16.0,1.0,11.8,15.3,"$1,318,024",7th,#37 Brewco Motorsports
2005.0,35.0,1.0,3.0,6.0,0.0,20.6,17.8,"$1,252,051",8th,#27 Brewco Motorsports
2006.0,27.0,0.0,0.0,2.0,0.0,22.1,22.7,"$915,223",23rd,#27 Brewco Motorsports
2007.0,3.0,0.0,0.0,0.0,0.0,35.3,21.7,"$53,425",92nd,#91 Riley D'Hondt Motorsports
2008.0,1.0,0.0,0.0,0.0,0.0,43.0,29.0,"$20,025",126th,#0 JD Motorsports
2009.0,9.0,0.0,0.0,0.0,0.0,34.6,24.4,"$262,552",55th,#07 SK Motorsports
2010.0,1.0,0.0,0.0,0.0,0.0,43.0,36.0,"$18,370",138th,#49 Jay Robinson Racing
