Driver,Constructor,Laps,Time/Retired,Grid
Ralf Schumacher,Williams - BMW,56.0,1:34:12.912,4.0
Juan Pablo Montoya,Williams - BMW,56.0,+39.700,2.0
Michael Schumacher,Ferrari,56.0,+1:01.795,1.0
Jenson Button,Renault,56.0,+1:09.767,8.0
Nick Heidfeld,Sauber - Petronas,55.0,+1 Lap,7.0
Felipe Massa,Sauber - Petronas,55.0,+1 Lap,14.0
Allan McNish,Toyota,55.0,+1 Lap,19.0
Jacques Villeneuve,BAR - Honda,55.0,+1 Lap,13.0
Takuma Sato,Jordan - Honda,54.0,+2 Laps,15.0
Pedro de la Rosa,Jaguar - Cosworth,54.0,+2 Laps,17.0
Heinz-Harald Frentzen,Arrows - Cosworth,54.0,+2 Laps,11.0
Mika Salo,Toyota,53.0,+3 Laps,10.0
Giancarlo Fisichella,Jordan - Honda,53.0,+3 Laps,9.0
Rubens Barrichello,Ferrari,39.0,Engine,3.0
Mark Webber,Minardi - Asiatech,34.0,Electrical,21.0
Eddie Irvine,Jaguar - Cosworth,30.0,Hydraulics,20.0
Alex Yoong,Minardi - Asiatech,29.0,Gearbox,22.0
Kimi Räikkönen,McLaren - Mercedes,24.0,Engine,5.0
Enrique Bernoldi,Arrows - Cosworth,20.0,Fuel Pressure,16.0
David Coulthard,McLaren - Mercedes,15.0,Engine,6.0
Olivier Panis,BAR - Honda,9.0,Clutch,18.0
Jarno Trulli,Renault,9.0,Overheating,12.0
