Rank,City,Population,Country,Area (km²)
1.0,Tokyo,36669000.0,Japan,13500.0
2.0,Shanghai,16575000.0,China,3920.0
3.0,Beijing,12385000.0,China,7860.0
4.0,Manila,11628000.0,Philippines,640.0
5.0,Osaka–Kobe,11337000.0,Japan,1220.0
6.0,Seoul,9773000.0,South Korea,610.0
7.0,Chongqing,9401000.0,China,7490.0
8.0,Jakarta ( Jabodetabek ),9210000.0,Indonesia,1360.0
9.0,Shenzhen,9005000.0,China,1950.0
10.0,Guangzhou,8884000.0,China,7260.0
11.0,Tianjin,7884000.0,China,7130.0
12.0,Wuhan,7681000.0,China,8490.0
13.0,Hong Kong,7069000.0,Hong Kong,1100.0
14.0,Bangkok,6976000.0,Thailand,1570.0
15.0,Ho Chi Minh City,6167000.0,Vietnam,2090.0
16.0,Dongguan,5347000.0,China,2460.0
17.0,Shenyang,5166000.0,China,3460.0
18.0,Foshan,4969000.0,China,3813.0
19.0,Chengdu,4961000.0,China,2130.0
20.0,Singapore,4837000.0,Singapore,690.0
21.0,Xi'an,4747000.0,China,3550.0
22.0,Nanjing,4591000.0,China,6600.0
23.0,Yangon,4350000.0,Burma,350.0
24.0,Harbin,4251000.0,China,4280.0
25.0,Hangzhou,3860000.0,China,3068.0
26.0,Changchun,3597000.0,China,3616.0
27.0,Shantou,3502000.0,China,1956.0
28.0,Busan,760.0,South Korea,760.0
