Municipality,Coakley votes,Coakley %,Brown votes,Brown %,Kennedy votes,Kennedy %,Total vote,Turnout %
Abington,2088.0,33.1%,4158.0,65.9%,61.0,1.0%,6307.0,60%
Acton,5371.0,57.5%,3896.0,41.7%,71.0,0.8%,9338.0,68%
Acushnet,1627.0,42.8%,2138.0,56.3%,34.0,0.9%,3799.0,51%
Adams,1650.0,68.1%,748.0,30.9%,26.0,1.1%,2424.0,40%
Agawam,3660.0,34.7%,6726.0,63.8%,158.0,1.5%,10544.0,51%
Alford,157.0,69.2%,68.0,30.0%,2.0,0.9%,227.0,58%
Amesbury,2543.0,41.7%,3480.0,57.1%,70.0,1.1%,6093.0,51%
Amherst,6547.0,84.0%,1180.0,15.1%,64.0,0.8%,7791.0,47%
Andover,5900.0,41.2%,8336.0,58.2%,80.0,0.6%,14316.0,64%
Aquinnah,149.0,77.6%,42.0,21.9%,1.0,0.5%,192.0,48%
Arlington,13284.0,65.5%,6845.0,33.7%,157.0,0.8%,20286.0,68%
Ashburnham,866.0,35.1%,1574.0,63.8%,27.0,1.1%,2467.0,58%
Ashby,475.0,33.0%,949.0,66.0%,14.0,1.0%,1438.0,60%
Ashfield,670.0,75.0%,212.0,23.7%,11.0,1.2%,893.0,69%
Ashland,2897.0,45.1%,3467.0,54.0%,60.0,0.9%,6424.0,61%
Athol,1171.0,35.0%,2105.0,62.9%,68.0,2.0%,3344.0,50%
Attleboro,4819.0,35.6%,8598.0,63.5%,116.0,0.9%,13533.0,53%
Auburn,2406.0,36.9%,4036.0,62.0%,72.0,1.1%,6514.0,56%
Avon,706.0,37.5%,1155.0,61.3%,22.0,1.2%,1883.0,62%
Ayer,989.0,39.6%,1467.0,58.8%,41.0,1.6%,2497.0,53%
Barnstable,7543.0,37.6%,12331.0,61.5%,179.0,0.9%,20053.0,65%
Barre,728.0,36.1%,1263.0,62.7%,23.0,1.1%,2014.0,58%
Becket,384.0,62.0%,225.0,36.3%,10.0,1.6%,619.0,49%
Bedford,2976.0,50.3%,2900.0,49.0%,46.0,0.8%,5922.0,64%
Belchertown,2629.0,48.4%,2749.0,50.6%,57.0,1.0%,5435.0,57%
Bellingham,2179.0,34.3%,4090.0,64.4%,78.0,1.2%,6347.0,61%
Belmont,6528.0,59.3%,4405.0,40.0%,76.0,0.7%,11009.0,67%
Berkley,746.0,31.2%,1614.0,67.6%,28.0,1.2%,2388.0,56%
Berlin,538.0,39.0%,825.0,59.7%,18.0,1.3%,1381.0,69%
Bernardston,445.0,52.9%,378.0,44.9%,19.0,2.3%,842.0,54%
Beverly,6735.0,44.0%,8400.0,54.9%,163.0,1.1%,15298.0,61%
Billerica,4972.0,33.8%,9583.0,65.1%,156.0,1.1%,14711.0,60%
Blackstone,1052.0,32.9%,2102.0,65.8%,40.0,1.3%,3194.0,53%
Blandford,196.0,35.6%,343.0,62.4%,11.0,2.0%,550.0,63%
Bolton,995.0,41.9%,1362.0,57.3%,18.0,0.8%,2375.0,74%
Boston,105289.0,68.7%,46468.0,30.3%,1513.0,1.0%,153270.0,43%
Bourne,2807.0,35.0%,5134.0,64.0%,76.0,0.9%,8017.0,61%
Boxborough,1141.0,50.7%,1087.0,48.3%,21.0,0.9%,2249.0,67%
Boxford,1239.0,30.3%,2837.0,69.3%,18.0,0.4%,4094.0,69%
Boylston,729.0,35.2%,1321.0,63.7%,23.0,1.1%,2073.0,67%
Braintree,5606.0,37.2%,9312.0,61.8%,155.0,1.0%,15073.0,61%
Brewster,2416.0,46.5%,2730.0,52.6%,46.0,0.9%,5192.0,64%
Bridgewater,2794.0,31.0%,6138.0,68.1%,85.0,0.9%,9017.0,58%
Brimfield,489.0,32.8%,995.0,66.7%,7.0,0.5%,1491.0,58%
Brockton,11761.0,54.4%,9634.0,44.6%,223.0,1.0%,21618.0,41%
Brookfield,430.0,33.8%,813.0,63.9%,29.0,2.3%,1272.0,55%
Brookline,15264.0,74.1%,5217.0,25.3%,108.0,0.5%,20589.0,49%
Buckland,522.0,65.4%,263.0,33.0%,13.0,1.6%,798.0,62%
Burlington,3658.0,39.1%,5640.0,60.3%,54.0,0.6%,9352.0,58%
Cambridge,27268.0,84.1%,4921.0,15.2%,232.0,0.7%,32421.0,54%
Canton,3787.0,39.3%,5770.0,59.9%,80.0,0.8%,9637.0,63%
Carlisle,1442.0,54.0%,1215.0,45.5%,13.0,0.5%,2670.0,73%
Carver,1611.0,33.0%,3222.0,66.0%,50.0,1.0%,4883.0,56%
Charlemont,278.0,60.0%,176.0,38.0%,9.0,1.9%,463.0,52%
Charlton,1271.0,26.6%,3458.0,72.4%,46.0,1.0%,4775.0,53%
Chatham,1488.0,40.3%,2179.0,59.0%,27.0,0.7%,3694.0,65%
Chelmsford,5688.0,37.3%,9417.0,61.8%,128.0,0.8%,15233.0,65%
Chelsea,2562.0,61.9%,1501.0,36.3%,73.0,1.8%,4136.0,37%
Cheshire,740.0,62.2%,436.0,36.7%,13.0,1.1%,1189.0,51%
Chester,194.0,39.0%,292.0,58.6%,12.0,2.4%,498.0,54%
Chesterfield,264.0,51.8%,242.0,47.5%,4.0,0.8%,510.0,59%
Chicopee,7043.0,44.8%,8339.0,53.1%,334.0,2.1%,15716.0,46%
Chilmark,364.0,70.7%,141.0,27.4%,10.0,1.9%,515.0,59%
Clarksburg,395.0,67.3%,186.0,31.7%,6.0,1.0%,587.0,52%
Clinton,1661.0,37.4%,2724.0,61.3%,59.0,1.3%,4444.0,47%
Cohasset,1419.0,37.0%,2401.0,62.6%,17.0,0.4%,3837.0,70%
Colrain,401.0,60.2%,249.0,37.4%,16.0,2.4%,666.0,56%
Concord,5445.0,62.1%,3271.0,37.3%,52.0,0.6%,8768.0,72%
Conway,685.0,69.0%,303.0,30.5%,5.0,0.5%,993.0,66%
Cummington,306.0,69.2%,130.0,29.4%,6.0,1.4%,442.0,68%
Dalton,1423.0,61.7%,845.0,36.7%,37.0,1.6%,2305.0,50%
Danvers,3651.0,36.2%,6347.0,62.9%,89.0,0.9%,10087.0,57%
Dartmouth,5110.0,46.4%,5812.0,52.7%,98.0,0.9%,11020.0,47%
Dedham,4647.0,43.1%,5979.0,55.5%,147.0,1.4%,10773.0,65%
Deerfield,1482.0,62.5%,853.0,36.0%,36.0,1.5%,2371.0,63%
Dennis,3131.0,41.4%,4358.0,57.6%,76.0,1.0%,7565.0,65%
Dighton,829.0,31.6%,1770.0,67.5%,24.0,0.9%,2623.0,57%
Douglas,840.0,25.4%,2440.0,73.7%,31.0,0.9%,3311.0,54%
Dover,1058.0,35.8%,1888.0,63.8%,13.0,0.4%,2959.0,75%
Dracut,3166.0,29.0%,7658.0,70.2%,87.0,0.8%,10911.0,55%
Dudley,1125.0,30.6%,2515.0,68.4%,39.0,1.1%,3679.0,53%
Dunstable,502.0,33.8%,968.0,65.2%,14.0,0.9%,1484.0,69%
Duxbury,2674.0,34.7%,4982.0,64.7%,44.0,0.6%,7700.0,70%
East Bridgewater,1583.0,28.9%,3849.0,70.4%,39.0,0.7%,5471.0,60%
East Brookfield,245.0,27.3%,645.0,71.7%,9.0,1.0%,899.0,60%
Eastham,1540.0,50.7%,1473.0,48.5%,25.0,0.8%,3038.0,71%
Easthampton,3708.0,58.9%,2493.0,39.6%,91.0,1.4%,6292.0,56%
East Longmeadow,2091.0,32.5%,4294.0,66.6%,58.0,0.9%,6443.0,58%
