Rank,Nation,Gold,Silver,Bronze,Total
1.0,USSR,112.0,85.0,58.0,255.0
2.0,China,70.0,45.0,34.0,149.0
3.0,Romania,47.0,43.0,41.0,131.0
4.0,Japan,40.0,44.0,58.0,142.0
5.0,Czechoslovakia (1),39.0,38.0,30.0,106.0
6.0,United States,39.0,36.0,27.0,102.0
7.0,Russia,26.0,33.0,24.0,83.0
8.0,France,25.0,29.0,22.0,76.0
9.0,Germany (2),24.0,27.0,43.0,94.0
10.0,Switzerland,19.0,16.0,14.0,49.0
11.0,Yugoslavia,17.0,11.0,9.0,37.0
12.0,Italy,14.0,8.0,26.0,47.0
13.0,Belarus,14.0,7.0,11.0,32.0
14.0,Hungary,10.0,15.0,8.0,33.0
15.0,South Korea,6.0,2.0,2.0,10.0
16.0,Ukraine,5.0,7.0,14.0,26.0
17.0,Bulgaria,5.0,6.0,13.0,24.0
18.0,CIS,5.0,3.0,5.0,13.0
19.0,Poland,5.0,2.0,9.0,16.0
20.0,Brazil,4.0,3.0,3.0,10.0
21.0,North Korea,4.0,2.0,3.0,9.0
22.0,Greece,4.0,2.0,2.0,8.0
23.0,Netherlands,3.0,6.0,2.0,11.0
24.0,Great Britain,3.0,5.0,6.0,14.0
25.0,Slovenia,3.0,4.0,0.0,7.0
26.0,Spain,3.0,3.0,1.0,7.0
27.0,Sweden,3.0,1.0,2.0,6.0
28.0,Finland,2.0,5.0,1.0,8.0
29.0,Australia,2.0,4.0,4.0,10.0
30.0,Uzbekistan,1.0,2.0,4.0,7.0
31.0,Austria,1.0,1.0,1.0,3.0
32.0,Luxembourg,1.0,0.0,4.0,5.0
33.0,Kazakhstan,1.0,0.0,0.0,1.0
34.0,Belgium,0.0,4.0,5.0,9.0
35.0,Canada,0.0,3.0,5.0,8.0
36.0,Latvia,0.0,2.0,1.0,3.0
37.0,Cuba,0.0,1.0,2.0,3.0
38.0,Chinese Taipei,0.0,1.0,0.0,1.0
38.0,Mexico,0.0,1.0,0.0,1.0
40.0,Israel,0.0,0.0,2.0,2.0
41.0,Azerbaijan,0.0,0.0,1.0,1.0
41.0,Puerto Rico,0.0,0.0,1.0,1.0
41.0,Vietnam,0.0,0.0,1.0,1.0
