Country,Mens Open,Womens Open,Mens Wheelchair,Womens Wheelchair,Total
United States,44.0,15.0,12.0,25.0,96.0
Kenya,20.0,10.0,0.0,0.0,30.0
Canada,16.0,1.0,4.0,0.0,21.0
Japan,8.0,0.0,3.0,5.0,16.0
Switzerland,0.0,0.0,7.0,2.0,9.0
South Africa,0.0,0.0,9.0,0.0,9.0
Ethiopia,4.0,4.0,0.0,0.0,8.0
Finland,7.0,0.0,0.0,0.0,7.0
Germany,1.0,5.0,0.0,0.0,6.0
Australia,1.0,0.0,0.0,4.0,5.0
Russia,0.0,4.0,0.0,0.0,4.0
France,0.0,0.0,3.0,0.0,3.0
New Zealand,1.0,2.0,0.0,0.0,3.0
Portugal,0.0,3.0,0.0,0.0,3.0
South Korea,3.0,0.0,0.0,0.0,3.0
United Kingdom,3.0,0.0,0.0,0.0,3.0
Belgium,2.0,0.0,0.0,0.0,2.0
Norway,0.0,2.0,0.0,0.0,2.0
Colombia,1.0,0.0,0.0,0.0,1.0
Denmark,0.0,0.0,0.0,1.0,1.0
Greece,1.0,0.0,0.0,0.0,1.0
Guatemala,1.0,0.0,0.0,0.0,1.0
Ireland,1.0,0.0,0.0,0.0,1.0
Italy,1.0,0.0,0.0,0.0,1.0
Poland,0.0,1.0,0.0,0.0,1.0
Sweden,1.0,0.0,0.0,0.0,1.0
