Name,Nationality,Position,Crewe Alexandra career,Appearances,Goals
Herbert Swindells Category:Articles with hCards,England,FW,1927–1937,280.0,137.0
Fred Keenor Category:Articles with hCards,Wales,CB,1931–1934,123.0,5.0
George Gilchrist Category:Articles with hCards,England,FB,1934–1946,182.0,0.0
Jackie Waring Category:Articles with hCards,England,W,1934–1939,170.0,67.0
Fred Chandler Category:Articles with hCards,England,DF/ST,1937–1947,86.0,22.0
Ray Ferris Category:Articles with hCards,Northern Ireland,HB,1945–1949,109.0,23.0
John Meaney Category:Articles with hCards,England,FB,1946–1954,288.0,31.0
Tony Waddington Category:Articles with hCards,England,FB,1946–1953,178.0,8.0
Jack Meaney Category:Articles with hCards,England,FB,1947–1954,307.0,42.0
Frank Mitcheson Category:Articles with hCards,England,ST,1948–1954,199.0,37.0
Tom Briggs Category:Articles with hCards,England,FB,1949–1956,202.0,2.0
Jack Basford Category:Articles with hCards,England,ST,1948–1954,154.0,65.0
Albert Parker Category:Articles with hCards,England,DF,1948–1951,118.0,0.0
Bob Young Category:Articles with hCards,England,FB,1948–1952,155.0,2.0
Peter Ellson,England,GK,1949–1956,234.0,0.0
Johnny King Category:Articles with hCards,England,ST,"1949–1953, 1962–1967",238.0,60.0
Danny Smith Category:Articles with hCards,Scotland,W,1949–1952,110.0,15.0
Jimmy McGuigan Category:Articles with hCards,Scotland,W,1950–1956,217.0,34.0
Alf Lees Category:Articles with hCards,England,CB,1951–1956,192.0,5.0
Danny Murphy Category:Articles with hCards,England,FB,1951–1954,107.0,1.0
Bryan Williams Category:Articles with hCards,England,FB,1954–1958,150.0,6.0
Jimmy Rolfe Category:Articles with hCards,England,W,1955–1958,101.0,13.0
Barrie Wheatley Category:Articles with hCards,England,FW,1957–1966,272.0,58.0
Eric Barnes Category:Articles with hCards,England,CB,1958–1969,390.0,2.0
Don Campbell Category:Articles with hCards,England,DF,1958–1962,170.0,1.0
Stan Keery Category:Articles with hCards,England,MF/ST,1958–1965,277.0,24.0
Kevin McHale Category:Articles with hCards,England,W,1958–1970,126.0,23.0
Chris Riley Category:Articles with hCards,Wales,ST,1958–1964,155.0,49.0
Mervyn Jones Category:Articles with hCards,Wales,W,1959–1961,98.0,16.0
Bert Llewellyn Category:Articles with hCards,England,ST,1958–1960,106.0,58.0
Billy Haydock Category:Articles with hCards,England,ST,1961–1965,152.0,31.0
Peter Leigh Category:Articles with hCards,England,FB,1961–1972,473.0,2.0
Norman Bodell Category:Articles with hCards,England,DF,1963–1967,109.0,2.0
Frank Lord Category:Articles with hCards,England,ST,1961–1963,118.0,73.0
Geoff Hickson Category:Articles with hCards,England,GK,1962–1968,114.0,0.0
Peter Gowans Category:Articles with hCards,Scotland,ST,1963–1967,153.0,47.0
Willie Mailey Category:Articles with hCards,Scotland,GK,1963–1970,238.0,0.0
