Round,Selection,Player,Position,College
1.0,2.0,Steve Niehaus,Defensive Tackle,Notre Dame
2.0,29.0,Sammy Green,Linebacker,Florida
2.0,58.0,Sherman Smith,Running Back,Miami (OH)
2.0,59.0,Steve Raible,Wide Receiver,Georgia Tech
3.0,62.0,Jeff Lloyd,Defensive End,West Texas State
3.0,89.0,Rick Engles,Punter,Tulsa
3.0,92.0,Don Bitterlich,Placekicker,Temple
4.0,93.0,Steve Myer,Quarterback,New Mexico
4.0,122.0,Randy Johnson,Offensive Guard,Georgia
4.0,123.0,Andy Bolton,Running Back,Fisk
5.0,126.0,Don Dufek,Defensive Back,Michigan
5.0,153.0,Ernie Jones,Defensive Back,Miami
5.0,156.0,Larry Bates,Running Back,Miami
6.0,157.0,Alvis Darby,Tight End,Florida
7.0,184.0,Dick Dixon,Defensive Tackle,Arkansas State
8.0,210.0,Larry Shipp,Wide Receiver,LSU
9.0,239.0,Bob Bos,Offensive Tackle,Iowa State
10.0,266.0,Randy Coffield,Linebacker,Florida State
11.0,293.0,Keith Muehr,Punter,Southwestern Louisiana
12.0,320.0,Ron Barnett,Wide Receiver,Texas–Arlington
13.0,349.0,Andy Reid*,Running Back,Georgia
14.0,376.0,Jarvis Blinks,Defensive Back,Northwestern State
15.0,405.0,Dan Smith,Offensive Tackle,Washington State
16.0,432.0,Jeff Urczyk,Offensive Guard,Georgia Tech
17.0,461.0,Chris Rowland,Quarterback,Washington
