No.,#,Title,Directed by,Written by,U.S. viewers (million),Rank (week),Original air date
49.0,3.0,""" Informed Consent """,Laura Innes,David Foster,13.67,21.0,"September19,2006"
50.0,4.0,""" Lines in the Sand """,Newton Thomas Sigel,David Hoselton,14.52,16.0,"September26,2006"
51.0,5.0,""" Fools for Love """,David Platt,Peter Blake,14.18,18.0,"October31,2006"
52.0,6.0,""" Que Será Será """,Deran Sarafian,Thomas L. Moran,16.11,13.0,"November7,2006"
53.0,7.0,""" Son of Coma Guy """,Dan Attias,Doris Egan,14.60,19.0,"November14,2006"
54.0,8.0,""" Whac-A-Mole """,Daniel Sackheim,Pamela Davis,15.20,11.0,"November21,2006"
55.0,9.0,""" Finding Judas """,Deran Sarafian,Sara Hess,17.30,5.0,"November28,2006"
56.0,10.0,""" Merry Little Christmas """,Tony To,Liz Friedman,11.77,18.0,"December12,2006"
57.0,11.0,""" Words and Deeds """,Daniel Sackheim,Leonard Dick,17.78,5.0,"January9,2007"
58.0,12.0,""" One Day, One Room """,Juan J. Campanella,David Shore,27.34,7.0,"January30,2007"
59.0,13.0,""" Needle in a Haystack """,Peter O'Fallon,David Foster,24.88,4.0,"February6,2007"
60.0,14.0,""" Insensitive """,Deran Sarafian,Matthew V. Lewis,25.99,3.0,"February13,2007"
61.0,15.0,""" Half-Wit """,Katie Jacobs,Lawrence Kaplow,24.40,4.0,"March6,2007"
62.0,16.0,""" Top Secret """,Deran Sarafian,Thomas L. Moran,20.80,4.0,"March27,2007"
63.0,17.0,""" Fetal Position """,Matt Shakman,Russel Friend & Garrett Lerner,20.35,4.0,"April3,2007"
64.0,18.0,""" Airborne """,Elodie Keene,David Hoselton,21.57,4.0,"April10,2007"
65.0,19.0,""" Act Your Age """,Daniel Sackheim,Sara Hess,22.41,3.0,"April17,2007"
66.0,20.0,""" House Training """,Paul McCrane,Doris Egan,20.81,3.0,"April24,2007"
67.0,21.0,""" Family """,David Straiton,Liz Friedman,21.13,4.0,"May1,2007"
68.0,22.0,""" Resignation """,Martha Mitchell,Pamela Davis,21.36,3.0,"May8,2007"
69.0,23.0,""" The Jerk """,Daniel Sackheim,Leonard Dick,21.19,4.0,"May15,2007"
