Position,Club,Games played,Wins,Draws,Loses,Goals scored,Goals conceded,Points
1.0,Kauno Jėgeriai,34.0,23.0,7.0,4.0,75.0,28.0,76.0
2.0,Alytis Alytus,34.0,22.0,7.0,5.0,69.0,23.0,73.0
3.0,Atlantas-2 Klaipėda,34.0,19.0,8.0,7.0,70.0,35.0,65.0
4.0,Kruoja Pakruojis,34.0,17.0,9.0,8.0,71.0,36.0,60.0
5.0,Rodiklis Kaunas,34.0,17.0,7.0,10.0,70.0,44.0,58.0
6.0,Vėtra-2 Vilnius,34.0,15.0,7.0,12.0,64.0,40.0,52.0
7.0,Interas Visaginas,34.0,15.0,7.0,12.0,59.0,47.0,52.0
8.0,LKKA ir Teledema Kaunas,34.0,15.0,7.0,12.0,50.0,53.0,52.0
9.0,Žalgiris-2 Vilnius,34.0,13.0,7.0,14.0,42.0,42.0,46.0
10.0,FC Vilnius-2,34.0,10.0,12.0,12.0,51.0,51.0,42.0
11.0,Sūduva-2 Marijampolė,34.0,12.0,5.0,17.0,44.0,65.0,41.0
12.0,Banga Gargždai,34.0,9.0,12.0,13.0,44.0,49.0,39.0
13.0,KFK Šiauliai-2,34.0,11.0,6.0,17.0,51.0,69.0,39.0
14.0,Vilkmergė Ukmergė,34.0,10.0,8.0,16.0,40.0,51.0,38.0
15.0,Lietava Jonava,34.0,9.0,11.0,14.0,43.0,56.0,38.0
16.0,Atletas Kaunas,34.0,8.0,10.0,16.0,39.0,47.0,34.0
17.0,Geležinis Vilkas Vilnius,34.0,7.0,10.0,17.0,37.0,55.0,31.0
