Month,Week,Overall,Offensive,Defensive,Transition,Rookie
January,1.0,Josh Sanderson,Josh Sanderson,Pat O'Toole,Paul Rabil,Garrett Billings
January,2.0,Colin Doyle,Colin Doyle,Brandon Miller,Bobby McBride,Ilija Gajic
January,3.0,Bob Watson,Lewis Ratcliff,Bob Watson,Paul Rabil,Garrett Billings
January,4.0,Aaron Bold,Jeff Zywicki,Greg Peyser,Brodie Merrill,Brett Mydske
February,5.0,Blaine Manning,Blaine Manning,Matt Vinc,Peter Morgan,Stephan LeBlanc
February,6.0,Mike Poulin,John Tavares,Angus Goodleaf,Jay Thorimbert,Stephan LeBlanc
February,7.0,Callum Crawford,Ryan Powell,Pat O'Toole,Steve Toll,Garrett Billings
March,8.0,Casey Powell,Casey Powell,Matt Vinc,Geoff Snider,Alex Gajic
March,9.0,Mark Steenhuis,Mark Steenhuis,Matt King,Jeff Shattler,Kyle Clancy
March,10.0,John Tavares,John Tavares,Matt Vinc,Jordan Hall,Alex Gajic
March,11.0,Dan Dawson,Dan Dawson,Anthony Cosmo,Jeff Shattler,Ryan Hotaling
March,12.0,Lewis Ratcliff,Lewis Ratcliff,Brandon Miller,Paul Rabil,Alex Gajic
April,13.0,Stephan LeBlanc,Callum Crawford,Brandon Atherton,Brodie Merrill,Stephan LeBlanc
April,14.0,Shawn Williams,Rhys Duch,Matt Roik,Jed Prossner,Chris Corbeil
April,15.0,Dan Dawson,Dan Dawson,Matt Vinc,Geoff Snider,Stephan LeBlanc
