Season,Overall Spectators,Per game,Best supported Club,Spectators /game,Top goal scorer,Goals
1994–95,427576.0,1397.0,Stuttgarter Kickers,2759.0,Jonathan Akpoborie ( SK ),37.0
1995–96,353617.0,1156.0,Stuttgarter Kickers,3181.0,Dragan Trkulja ( Ulm ),25.0
1996–97,779612.0,2548.0,1. FC Nuremberg,15328.0,Frank Türr ( GF ),25.0
1997–98,693500.0,2375.0,Kickers Offenbach,12906.0,Dieter Eckstein ( FCA ),21.0
1998–99,568494.0,1858.0,Kickers Offenbach,11500.0,Marijo Maric ( SSV ),23.0
1999–2000,365281.0,1194.0,SV Darmstadt 98,3667.0,Oliver Djappa ( SSV ),36.0
2000–01,932249.0,3047.0,Karlsruher SC,10050.0,Marko Barlecaj ( SCP ),18.0
2001–02,717193.0,2344.0,Kickers Offenbach,6911.0,Saber Ben Neticha ( SVW ),18.0
2002–03,803856.0,2350.0,Jahn Regensburg,5105.0,Francisco Copado ( SpVggU ),24.0
2003–04,670371.0,2191.0,1. FC Saarbrücken,6141.0,Zvjezdan Misimovic ( FCB ) José Guerrero ( FCB ),21.0
2004–05,711904.0,2326.0,Kickers Offenbach,6669.0,Patrick Helmes ( SFS ),21.0
2005–06,561058.0,1834.0,TuS Koblenz,4657.0,Maximilian Nicu ( SVW ) Christian Okpala ( FCA ),16.0
2006–07,685182.0,2239.0,Hessen Kassel,4383.0,Mirnes Mesic ( TSG ) Jonathan Jäger ( 1. FCS ),17.0
2007–08,775651.0,2535.0,Sportfreunde Siegen,6095.0,Thorsten Bauer ( KSV ),20.0
2008–09,424619.0,1388.0,Hessen Kassel,4282.0,Thorsten Bauer ( KSV ),32.0
2009–10,367834.0,1202.0,VfR Aalen,3258.0,Mijo Tunjic ( SK ) Abedin Krasniqi ( SG ),19.0
2010–11,304647.0,1269.0,Hessen Kassel,5520.0,Kai Herdling ( TSG ),19.0
