Sport,Gold,Silver,Bronze,Total
3-on-3 basketball,1.0,0.0,0.0,1.0
"Board games, Chess",0.0,1.0,3.0,4.0
Cue sports,0.0,1.0,0.0,1.0
Electronic sports,2.0,2.0,3.0,7.0
"Extreme sports, Sport climbing",0.0,0.0,1.0,1.0
Futsal,4.0,1.0,0.0,5.0
Hoop takraw,0.0,0.0,1.0,1.0
Indoor archery,3.0,1.0,4.0,8.0
Indoor athletics,4.0,4.0,4.0,12.0
Indoor hockey,1.0,0.0,0.0,1.0
Kabaddi,0.0,3.0,1.0,4.0
Kickboxing,2.0,2.0,0.0,4.0
Kurash,3.0,2.0,1.0,6.0
Muay,4.0,4.0,3.0,11.0
Pencak silat,0.0,2.0,1.0,3.0
Short course swimming,1.0,1.0,1.0,3.0
Vovinam,1.0,3.0,3.0,7.0
Wushu,1.0,3.0,0.0,4.0
Total,27.0,30.0,26.0,83.0
