Debut year,Player,Games,Goals,Years at club
1900.0,Lou Barker,150.0,63.0,1900–1908
1900.0,Gerald Brosnan,131.0,160.0,1900–1909
1900.0,Arch Middleton,3.0,1.0,1900
1900.0,Joe Grace,2.0,0.0,1900
1900.0,Dave C. McGrath,1.0,1.0,1900
1900.0,Gordon Ross,4.0,1.0,1900–1901
1901.0,Bertie Loel,15.0,2.0,1901–1902
1901.0,Jim Paternoster,7.0,0.0,1901
1901.0,Matt Paternoster,12.0,4.0,1901
1901.0,Jim Sharp,161.0,43.0,1901–1910
1901.0,Percy Trotter,109.0,145.0,1901–1906
1901.0,Alf Bartlett,80.0,5.0,1901–1907
1901.0,Bob Smith,71.0,33.0,"1901–1903, 1906–1909"
1901.0,Alf Wilkinson,80.0,75.0,"1901–1906, 1908"
1901.0,Frank Hince,17.0,0.0,1901–1902
1902.0,Frank Brophy,26.0,20.0,1902–1903
1902.0,George Hutchinson,9.0,0.0,1902
1902.0,Henry Alder,1.0,0.0,1902
1902.0,Charlie Naismith,33.0,30.0,"1902, 1906–1907"
1902.0,Wally Naismith,143.0,20.0,1902–1910
1902.0,Mark Shea,24.0,1.0,1902–1904
1902.0,Bill Kruse,1.0,0.0,1902
1902.0,Bill McCarthy,11.0,0.0,1902
1902.0,Austin Gilligan,3.0,4.0,1902
1902.0,Sam Baker,6.0,0.0,1902–1903
1902.0,Teddy Best,14.0,0.0,1902–1903
1902.0,Herbert Milne,122.0,69.0,1902–1910
1902.0,Jack Trehey,1.0,0.0,1902
1902.0,Fred Howard,2.0,0.0,1902
1902.0,Alby McDonald,7.0,1.0,1902–1903
1903.0,Bill Griffiths,8.0,2.0,1903
1903.0,Charlie Martin,2.0,0.0,1903
1903.0,Bill Walker,169.0,25.0,1903–1914
1903.0,Les Millis,126.0,76.0,1903–1909
1903.0,Alf Sharp,19.0,0.0,1903–1904
1904.0,Joe Johnson,55.0,15.0,1904–1906
1904.0,Edgar Kneen,48.0,33.0,1904–1906
1904.0,Percy Sheehan,58.0,11.0,"1904–1906, 1908–1909"
1904.0,Bill Kelly,7.0,0.0,1904
1904.0,Paddy Shea,13.0,8.0,1904
1904.0,Hedley Tomkins,4.0,0.0,1904
1904.0,Fred Lethbridge,3.0,1.0,1904
1904.0,Gilbert Barker,42.0,4.0,1904–1906
1904.0,Jack McDonough,29.0,6.0,1904–1905
1904.0,Les Sharp,23.0,12.0,"1904–1905, 1907–1908"
1905.0,Syd Billings,34.0,2.0,1905–1907
1905.0,Jack Holt,22.0,2.0,1905–1906
1905.0,Sonny Douglas,2.0,1.0,1905
1905.0,George Elliott,1.0,0.0,1905
1905.0,Barclay Bailes,79.0,29.0,1905–1909
1905.0,Sam Davison,2.0,0.0,1905
1905.0,Ridley Plaisted,5.0,8.0,1905–1907
1906.0,Frank Abbott,31.0,4.0,"1906–1907, 1912"
1906.0,Jim Neylan,1.0,0.0,1906
1906.0,Rupe Bradley,2.0,1.0,1906
1906.0,Joe Youlden,2.0,0.0,1906
1906.0,Lou Jacobs,1.0,2.0,1906
1906.0,Jimmy Luff,2.0,0.0,1906
1907.0,Bill Blacklock,4.0,1.0,1907
1907.0,Jack Cooper,136.0,8.0,1907–1915
1907.0,Jack Dawson,13.0,0.0,1907
1907.0,Harold McLennan,135.0,22.0,"1907–1916, 1919"
1907.0,Norm McLennan,7.0,2.0,1907–1908
1907.0,Charlie Owens,14.0,11.0,1907–1908
1907.0,Herb Byrne,2.0,0.0,1907
1907.0,Wally Johnson,190.0,83.0,"1907–1916, 1919"
1907.0,Alf Appleton,6.0,2.0,1907
1907.0,Mick Mornane,1.0,0.0,1907
1907.0,George McWilliam,17.0,1.0,1907–1909
1907.0,Tom Sadlier,1.0,2.0,1907
1907.0,Jack Edgeley,6.0,1.0,1907–1908
1907.0,Arthur Treloar,4.0,3.0,1907–1908
1908.0,Billy Dick,53.0,40.0,1908–1910
1908.0,Val Duncan,11.0,0.0,1908
1908.0,Bill Franklin,5.0,4.0,1908
1908.0,George Holden,164.0,37.0,"1908–1911, 1913–1919"
1908.0,Jim Thorpe,2.0,0.0,1908
1908.0,Bill Campbell,1.0,0.0,1908
1908.0,Charlie Taylor,19.0,0.0,1908–1909
1908.0,Ned Richardson,2.0,0.0,1908–1909
1908.0,Bill Dinsmore,19.0,13.0,1908–1909
1908.0,Fred Forbes,5.0,6.0,1908
1908.0,Tom Norton (footballer),1.0,2.0,1908
1909.0,George Lambert,107.0,5.0,1909–1917
1909.0,Clive Morrison,23.0,18.0,1909–1910
1909.0,Arthur Newbound,24.0,13.0,1909–1910
1909.0,Percy Parratt,195.0,202.0,"1909–1917, 1920–1923"
1909.0,Bill Payne,17.0,0.0,1909–1910
1909.0,Jim Lynch,8.0,0.0,1909
1909.0,Arthur Ferguson,20.0,1.0,1909–1910
1909.0,George Pyke,5.0,1.0,1909
1909.0,Norm Richardson,1.0,0.0,1909
1909.0,Dave Earsman,3.0,0.0,1909
1909.0,Bernie Brophy,1.0,1.0,1909
1909.0,Bob Briggs,26.0,47.0,1909–1910
1909.0,Sid O'Neill,1.0,0.0,1909
