Season,Club,League,Apps,Goals
2001-02,Marila Příbram,Gambrinus liga,19.0,0.0
2001-02,Slovan Liberec,Gambrinus liga,2.0,0.0
2002-03,Slovan Liberec,Gambrinus liga,23.0,1.0
2003-04,Slovan Liberec,Gambrinus liga,23.0,4.0
2004-05,Slovan Liberec,Gambrinus liga,28.0,7.0
2005-06,Sparta Prague,Gambrinus liga,16.0,2.0
2006-07,Sparta Prague,Gambrinus liga,0.0,0.0
2007-08,Sparta Prague,Gambrinus liga,24.0,12.0
2008-09,Sparta Prague,Gambrinus liga,15.0,5.0
2008-09,Dinamo Zagreb,Prva HNL,9.0,6.0
2009-10,Dinamo Zagreb,Prva HNL,15.0,4.0
2010-11,Dinamo Zagreb,Prva HNL,3.0,1.0
2011-12,Sparta Prague,Gambrinus liga,7.0,2.0
