Year,Entrant,Chassis,Engine,Points
1962.0,John Love,Cooper T55,Climax Straight-4,0.0
1963.0,John Love,Cooper T55,Climax Straight-4,0.0
1964.0,Cooper Car Company,Cooper T73,Climax V8,0.0
1965.0,John Love,Cooper T55,Climax Straight-4,0.0
1967.0,John Love,Cooper T79,Climax Straight-4,6.0
1968.0,Team Gunston,Brabham BT20,Repco V8,0.0
1969.0,Team Gunston,Lotus 49,Cosworth V8,0.0
1970.0,Team Gunston,Lotus 49,Cosworth V8,0.0
1971.0,Team Peco/Gunston,March 701,Cosworth V8,0.0
1972.0,Team Gunston,Surtees TS9,Cosworth V8,0.0
