Name,Date of Birth,Height,Weight,Spike,Block
Dan Howard,13.12.1976,208.0,98.0,375.0,340.0
Grant Sorensen,27.03.1982,199.0,93.0,337.0,328.0
Ben Hardy,21.09.1974,198.0,92.0,335.0,320.0
Luke Campbell,08.11.1979,202.0,98.0,346.0,335.0
Matthew Young,17.07.1981,187.0,78.0,335.0,323.0
Andrew Earl,15.09.1982,196.0,85.0,336.0,322.0
David Beard,23.10.1973,197.0,92.0,342.0,325.0
Travis Moran,16.08.1985,196.0,95.0,336.0,320.0
David Ferguson,13.03.1982,205.0,92.0,348.0,328.0
Zane Christensen,19.07.1985,209.0,103.0,368.0,342.0
Hidde Van Beest,20.07.1979,207.0,106.0,350.0,342.0
Brett Alderman,27.02.1979,191.0,87.0,343.0,328.0
