Peak,Height (m),Prom. (m),Class,Parent
Great Gable,899.0,425.0,Marilyn,Scafell Pike
Pillar,892.0,348.0,Marilyn,Great Gable
Scoat Fell,841.0,86.0,Hewitt,Pillar
Black Crag,828.0,34.0,Hewitt,Pillar
Red Pike (Wasdale),826.0,62.0,Hewitt,Pillar
Steeple,819.0,24.0,Nuttall,Scoat Fell
High Stile,807.0,362.0,Marilyn,Great Gable
Kirk Fell,802.0,181.0,Marilyn,Great Gable
Green Gable,801.0,50.0,Hewitt,Great Gable
Haycock,797.0,94.0,Hewitt,Pillar
Kirk Fell east top,787.0,36.0,Hewitt,Kirk Fell
Pillar Rock,780.0,15.0,Nuttall,Pillar
Red Pike (Buttermere),755.0,40.0,Hewitt,High Stile
High Crag,744.0,35.0,Hewitt,High Stile
Little Gowder Crag,733.0,17.0,Nuttall,Haycock
Brandreth,715.0,61.0,Hewitt,Great Gable
Caw Fell,697.0,22.0,Nuttall,Haycock
Grey Knotts,697.0,16.0,Nuttall,Brandreth
Seatallan,692.0,193.0,Marilyn,Pillar
Fleetwith Pike,648.0,117.0,Hewitt,Great Gable
Base Brown,646.0,38.0,Hewitt,Green Gable
Dodd,641.0,20.0,Nuttall,Red Pike
Iron Crag,640.0,56.0,Hewitt,Haycock
Starling Dodd,633.0,73.0,Hewitt,High Stile
Honister Crag,630.0,20.0,Nuttall,Fleetwith Pike
Yewbarrow,627.0,142.0,Hewitt,Pillar
Looking Stead,627.0,20.0,Nuttall,Pillar
Great Borne,616.0,113.0,Hewitt,High Stile
Yewbarrow north top,616.0,33.0,Hewitt,Yewbarrow
