Township,County,Pop. (2010),Land ( sqmi ),Water (sqmi),Latitude,Longitude,GEO ID,ANSI code
Wadsworth,Stutsman,22.0,32.675,2.929,47.203464,-99.280246,3809382540.0,1036505.0
Wagar,McHenry,30.0,36.009,0.064,48.421965,-100.592116,3804982580.0,1759518.0
Wagendorf,Hettinger,17.0,35.963,0.009,46.318359,-102.726679,3804182620.0,1037234.0
Walburg,Cass,152.0,35.978,0.005,46.766696,-97.361976,3801782740.0,1036366.0
Walcott,Richland,326.0,58.738,0.0,46.587329,-96.927146,3807782820.0,1036854.0
Waldo,Richland,103.0,35.309,0.041,46.064337,-96.813795,3807782900.0,1036819.0
Walhalla,Pembina,130.0,44.17,0.048,48.931954,-97.887029,3806783020.0,1036740.0
Walker,Hettinger,22.0,36.07,0.045,46.505321,-102.092723,3804183060.0,1759464.0
Wallace,Kidder,25.0,34.131,1.442,47.273773,-99.666855,3804383100.0,1037126.0
Walle,Grand Forks,457.0,38.715,0.197,47.795145,-97.034086,3803583140.0,1036592.0
Walsh Centre,Walsh,154.0,36.217,0.0,48.325376,-97.448678,3809983180.0,1036526.0
Walshville,Walsh,112.0,33.096,0.438,48.245458,-97.193551,3809983220.0,1036515.0
Walters,Stutsman,44.0,35.474,0.136,47.276592,-99.033007,3809383260.0,1036511.0
Wamduska,Nelson,34.0,31.087,4.757,47.890761,-98.33202,3806383340.0,1036572.0
Wano,LaMoure,35.0,36.035,0.0,46.413392,-98.599342,3804583380.0,1036902.0
Ward,Burke,52.0,35.04,0.957,48.756433,-102.338767,3801383420.0,1037103.0
Warren,Cass,139.0,35.651,0.002,46.753842,-97.00002,3801783500.0,1036360.0
Warwick,Benson,64.0,32.961,2.094,47.888546,-98.732324,3800583620.0,2397892.0
Washburn,Griggs,68.0,35.863,0.026,47.44938,-98.031371,3803983660.0,1036642.0
Washington,Grand Forks,116.0,36.037,0.0,47.715518,-97.431322,3803583740.0,1036588.0
Waterford,Ward,2807.0,35.823,0.317,48.416292,-101.38591,3810183780.0,1759695.0
Waterloo,Cavalier,36.0,35.342,0.634,48.754141,-98.529629,3801983820.0,1759384.0
Watson,Cass,93.0,35.986,0.0,46.672866,-97.367221,3801783940.0,1036355.0
Wayne,Bottineau,32.0,43.523,0.287,48.944202,-101.157711,3800983980.0,1759301.0
Wayzetta,Mountrail,21.0,35.902,0.064,48.072278,-102.234712,3806184020.0,1037015.0
Weber,Sargent,73.0,39.727,0.543,45.974268,-97.565615,3808184100.0,1036785.0
Webster,Ramsey,67.0,36.066,0.415,48.327072,-98.875909,3807184180.0,1759598.0
Weimer,Barnes,47.0,36.027,0.0,47.022258,-97.769315,3800384220.0,1036423.0
Weiser,Kidder,34.0,34.86,1.058,47.030934,-99.534051,3804384260.0,1759479.0
Weld,Stutsman,31.0,33.947,2.375,46.942433,-99.120691,3809384300.0,1036475.0
Wellington,Bottineau,30.0,35.991,0.08,48.581299,-100.200318,3800984340.0,1759302.0
Wells,Wells,100.0,33.633,0.579,47.811111,-99.855168,3810384380.0,1759714.0
West Antelope,Benson,21.0,35.803,0.104,47.883003,-99.350987,3800584540.0,1759262.0
West Bank,Williams,52.0,36.572,0.0,48.328326,-103.022257,3810584580.0,1037024.0
West Bay,Benson,57.0,35.288,0.209,48.056183,-99.267307,3800584620.0,1759263.0
West End,Richland,39.0,36.118,0.0,46.325901,-97.21798,3807784700.0,1036845.0
West Hope,Cavalier,45.0,44.392,0.591,48.942276,-98.277482,3801985060.0,1759385.0
West Norway,Wells,35.0,35.827,0.174,47.709463,-99.624357,3810385100.0,1759715.0
West Ontario,Wells,32.0,35.397,0.343,47.537424,-99.703496,3810385120.0,1759716.0
Westby,Divide,51.0,48.214,3.652,48.845524,-103.974973,3802384660.0,1036933.0
Western,Wells,87.0,35.562,0.412,47.709665,-99.994802,3810384740.0,1759717.0
