Number in map,Prefecture,Area (km²),Population (2001),Pop. density (/km²)
46,Aetolia-Acarnania,5460.888,224429.0,41.10
42,Larissa,5380.943,279305.0,51.91
24,Ioannina,4990.416,170239.0,34.11
5,Phthiotis,4440.765,178771.0,40.26
34,Arcadia,4418.736,102035.0,23.09
19,Evros,4241.615,149354.0,35.21
2,Euboea,4167.449,215136.0,51.62
12,Serres,3967.744,200916.0,50.64
13,Thessaloniki,3682.736,1057825.0,287.24
37,Laconia,3636.058,99637.0,27.40
51,Kozani,3515.853,155324.0,44.18
18,Drama,3468.293,103975.0,29.98
44,Trikala,3383.477,138047.0,40.80
45,Achaea,3271.507,322789.0,98.67
38,Messenia,2990.901,176876.0,59.14
6,Boeotia,2951.622,131085.0,44.41
7,Chalkidiki,2917.877,104894.0,35.95
40,Dodecanese,2714.295,190071.0,70.03
15,Heraklion,2641.220,292489.0,110.74
43,Magnesia,2636.272,206995.0,78.52
41,Karditsa,2635.954,129541.0,49.14
47,Elis,2617.776,193288.0,73.84
39,Cyclades,2571.691,112615.0,43.79
21,Rhodope,2543.145,110828.0,43.58
9,Kilkis,2518.880,89056.0,35.36
10,Pella,2505.774,145797.0,58.18
14,Chania,2375.849,150387.0,63.30
49,Grevena,2290.856,37947.0,16.56
36,Corinthia,2289.952,154624.0,67.52
35,Argolis,2154.309,105770.0,49.10
32,Lesbos,2153.727,109118.0,50.66
4,Phocis,2120.564,48284.0,22.77
20,Kavala,2111.705,144850.0,68.59
48,Florina,1924.564,54768.0,28.46
3,Evrytania,1868.911,32053.0,17.15
16,Lasithi,1822.764,76319.0,41.87
22,Xanthi,1792.992,101856.0,56.81
50,Kastoria,1720.133,53483.0,31.09
8,Imathia,1700.810,143618.0,84.44
23,Arta,1662.210,78134.0,47.01
11,Pieria,1516.702,129846.0,85.61
26,Thesprotia,1514.653,46091.0,30.43
1-2,East Attica,1512.993,403918.0,266.97
17,Rethymno,1496.047,81936.0,54.77
25,Preveza,1035.938,59356.0,57.30
1-4,West Attica,1004.007,151612.0,151.01
1-3,Piraeus,929.382,541504.0,582.65
28,Kefalonia,904.387,39488.0,43.66
31,Chios,904.227,53408.0,59.06
33,Samos,777.945,43595.0,56.04
27,Corfu (Kerkyra),641.057,111975.0,174.67
30,Zakynthos,405.550,39015.0,96.20
1-1,Athens Prefecture,361.719,2664776.0,"7,366.98"
29,Lefkada,355.936,22506.0,63.23
