Franchise or Game,Console,Main Developer,Main Genre,First Release,Latest Release
After Burner,"Arcade , PlayStation Portable , PlayStation 3",Sega-AM2,Shoot 'em up,1987.0,2010.0
Beyond Oasis,"Mega Drive/Genesis , Sega Saturn",Ancient,Action-adventure game,1994.0,1996.0
Blazing Heroes,Sega Saturn,Sega,Tactical role-playing game,1995.0,1996.0
Bleach,"Nintendo DS , Wii","Treasure Co. Ltd , Polygon Magic",Fighting game,2005.0,2008.0
Bug!,Sega Saturn,Realtime Associates,Platform game,1995.0,1996.0
Border Break,Arcade,Sega,Action,2009.0,2012.0
Cannon Spike,"Arcade , Dreamcast","Psikyo , Capcom","Arcade , Action",2000.0,2002.0
Chu Chu Rocket,"Dreamcast , Game Boy Advance",Sonic Team,Puzzle,1999.0,2001.0
Clockwork Knight,Sega Saturn,Sega,Platform game,1994.0,1995.0
Columns,Mega Drive/Genesis,Sega,Puzzle,1990.0,1997.0
Condemned: Criminal Origins,"Xbox 360 , PlayStation 3 , Microsoft Windows",Monolith Productions,Action game,2005.0,2008.0
Daytona USA,"Arcade , Sega Saturn , Dreamcast , XBLA , PSN , PC","Sega-AM2 , Amusement Vision",Racing game,1993.0,2011.0
Derby Owners Club,Arcade,Hitmaker,Horse racing,2000.0,2002.0
Dinosaur King,"Arcade , Nintendo DS",Sega,Trading card game,2005.0,2007.0
Dragon Force,Sega Saturn,Sega,Real-time strategy,1996.0,1998.0
Dynamite Cop,"Arcade , Sega Saturn , Dreamcast",Wow Entertainment,Beat 'em up,1996.0,1998.0
Dynamite Dux,"Arcade , Sega Master System",Sega,Beat 'em up,1989.0,1990.0
Eternal Champions,"Mega Drive/Genesis , Sega CD",Sega,Fighting game,1993.0,1995.0
Feel the Magic: XY/XX,Nintendo DS,Sonic Team,Minigame,2004.0,2005.0
Ferrari F355 Challenge,"Arcade , Dreamcast , PlayStation 2",Sega-AM2,Racing game,1999.0,2000.0
Fighting Vipers,"Arcade , Sega Saturn , Dreamcast , PlayStation 2",Sega-AM2,Fighting game,1995.0,2001.0
Fist of the North Star,"Arcade , PlayStation 2",Arc System Works,Fighting game,2005.0,2007.0
Flicky,"Arcade , Sega SG-1000 , Mega Drive/Genesis",Sega,Action game,1984.0,1984.0
Full Auto,"Xbox 360 , PlayStation 3 , PlayStation Portable",Pseudo Interactive,Racing game,2006.0,2007.0
Ghost Squad,"Arcade , Wii",Sega-AM2,Rail shooter,2004.0,2007.0
Gunstar Heroes,"Mega Drive/Genesis , Sega Game Gear",Treasure Co. Ltd,Run and gun,1993.0,2005.0
Hang-On,"Arcade , Sega Master System , Mega Drive/Genesis",Sega-AM2,Racing game,1985.0,1987.0
Headhunter,"Dreamcast , PlayStation 2 , Xbox",Amuze,Action-adventure game,2002.0,2004.0
House of the Dead,"Arcade , Saturn , Dreamcast , Wii , Xbox",Wow Entertainment,Rail shooter,1996.0,2008.0
Joe Montana Football,Mega Drive/Genesis,Sega,Sports game,1991.0,1994.0
K-On! Hōkago Live!!,"PlayStation Portable , PlayStation 3",Sega,Rhythm game,2010.0,2012.0
Last Bronx,"Arcade , Sega Saturn , PlayStation 2",Hitmaker,Fighting game,1996.0,2006.0
MadWorld,Wii,Platinum Games,Beat 'em up,2009.0,2011.0
Magic Knight Rayearth,Sega Saturn,Sega,Action-adventure game,1995.0,1998.0
Manx TT Superbike,"Arcade , Sega Saturn , PC",Sega,Racing game,1995.0,1997.0
Metropolis Street Racer,Dreamcast,Bizarre Creations,Racing game,2000.0,2001.0
NiGHTS,"Sega Saturn , PlayStation 2 , Wii",Sonic Team,Action-adventure game,1996.0,2007.0
Oshare Majo: Love and Berry,"Arcade , Nintendo DS",Sega,Collectible card game,2004.0,2006.0
Mushiking: King of the Beetles,"Arcade , Nintendo DS",Sega,Collectible card game,2003.0,2007.0
Otogi,Xbox,From Software,Hack and slash,2002.0,2003.0
Pro Striker,"Mega Drive , Game Gear",Sega,Sports game,1993.0,1995.0
Project Revolution (game),Dreamcast,Sega-AM2,Shoot 'em up,1999.0,2000.0
Rent-A-Hero,"Mega Drive/Genesis , Dreamcast",Sega,Role-playing video game,1991.0,2000.0
Rez,"Dreamcast , PlayStation 2 , Xbox 360","United Game Artists , Q Entertainment",Rail shooter,2001.0,2008.0
Sands of Destruction (World Destruction),Nintendo DS,imageepoch,Role-playing video game,2008.0,2010.0
Sangokushi Taisen,"Arcade , Nintendo DS",Sega,Collectible card game,2005.0,2010.0
Samba De Amigo,"Arcade , Dreamcast , Wii","Sonic Team , Gearbox Software",Music video game,1999.0,2008.0
Scud Race,Arcade,Amusement Vision,Racing game,1996.0,1997.0
Seaman,"Dreamcast , PlayStation 2","Vivarium Inc. , Jellyvision",Simulation,1999.0,2007.0
Sega Bass Fishing,"Arcade , Dreamcast , Wii","Wow Entertainment , SIMS Co., Ltd.",Sports game,1998.0,2008.0
Sega GT,"Dreamcast , Xbox",Wow Entertainment,Racing game,2000.0,2003.0
Sega Touring Car Championship,"Arcade , Sega Saturn , PC CD-ROM",Sega-AM3,Racing,1996.0,1998.0
Sega Worldwide Soccer,"Saturn , Dreamcast","Sega , Silicon Dreams Studios",Sports game,1995.0,2000.0
Shenmue,"Dreamcast , Xbox",Sega-AM2,Action-adventure game,1999.0,2010.0
Skies of Arcadia,"Dreamcast , Nintendo GameCube",Overworks,Role-playing video game,2000.0,2002.0
Space Channel 5,"Dreamcast , PlayStation 2 , Game Boy Advance",United Game Artists,Music video game,1999.0,2003.0
Space Harrier,"Arcade , Sega Master System , Mega Drive/Genesis",Sega-AM2,Rail shooter,1985.0,2001.0
Spikeout,"Arcade , Xbox","Sega , Dimps",Beat 'em up,1997.0,2005.0
Starhorse,Arcade,Sega,Horse racing,2000.0,2011.0
Star Wars Arcade,"Arcade , Sega 32X","Sega , LucasArts , Sega Rosso",Action game,1993.0,1998.0
Super Monkey Ball,"Arcade , Nintendo GameCube , Wii , PlayStation 2",Sega,Party,2001.0,2011.0
Super Thunder Blade,"Arcade , Mega Drive/Genesis",Sega,Action game,1987.0,1988.0
Time Traveler,Arcade,Sega,Fighting game,1991.0,2001.0
