Week,Date,Opponent,Result,Attendance
1.0,"September 12, 1964",Houston Oilers,W 27–21,22632.0
2.0,"September 20, 1964",Boston Patriots,L 33–28,20568.0
3.0,"September 26, 1964",at Buffalo Bills,L 30–3,40167.0
4.0,"October 3, 1964",New York Jets,T 17–17,47746.0
5.0,"October 9, 1964",at Boston Patriots,W 26–17,35095.0
6.0,"October 18, 1964",Denver Broncos,W 42–14,23332.0
7.0,"October 25, 1964",at Houston Oilers,W 20–17,21671.0
8.0,"November 1, 1964",Oakland Raiders,W 31–17,25557.0
9.0,"November 8, 1964",at Denver Broncos,W 31–20,19670.0
10.0,"November 15, 1964",at Kansas City Chiefs,W 28–14,19792.0
11.0,"November 26, 1964",Buffalo Bills,L 27–24,31860.0
12.0,"December 6, 1964",New York Jets,W 38–3,25753.0
13.0,"December 13, 1964",Kansas City Chiefs,L 49–6,26562.0
14.0,"December 20, 1964",at Oakland Raiders,L 21–20,20124.0
