Team,First NHL season,Last NHL season,Seasons completed,Playoff appearances,Series won,Finals appearances,Division titles,Conference titles,Stanley Cup Championships
Montreal Canadiens,1917–18,Active,91.0,76.0,86.0,34.0,30.0,5.0,23.0
Montreal Wanderers,1917–18,1917–18 (Defunct),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ottawa Senators (Original),1917–18,1933–34 (Relocated),17.0,10.0,8.0,4.0,8.0,0.0,4.0
Toronto Maple Leafs,1917–18,Active,91.0,63.0,57.0,21.0,9.0,0.0,13.0
Quebec Bulldogs,1919–20,1919–20 (Relocated),1.0,0.0,0.0,0.0,0.0,0.0,0.0
Hamilton Tigers,1920–21,1924–25 (Defunct),5.0,0.0,0.0,0.0,0.0,0.0,0.0
Boston Bruins,1924–25,Active,84.0,62.0,47.0,18.0,24.0,0.0,6.0
Montreal Maroons,1924–25,1937–38 (Defunct),14.0,11.0,10.0,3.0,3.0,0.0,2.0
New York Americans,1925–26,1941–42 (Defunct),17.0,5.0,2.0,0.0,0.0,0.0,0.0
Pittsburgh Pirates,1925–26,1929–30 (Relocated),5.0,2.0,0.0,0.0,0.0,0.0,0.0
Chicago Blackhawks,1926–27,Active,82.0,53.0,40.0,11.0,14.0,2.0,5.0
Detroit Red Wings,1926–27,Active,82.0,57.0,61.0,23.0,17.0,5.0,11.0
New York Rangers,1926–27,Active,82.0,53.0,42.0,10.0,4.0,2.0,4.0
Philadelphia Quakers,1930–31,1930–31 (Defunct),1.0,0.0,0.0,0.0,0.0,0.0,0.0
St. Louis Eagles,1934–35,1934–35 (Defunct),1.0,0.0,0.0,0.0,0.0,0.0,0.0
California Golden Seals,1967–68,1975–76 (Relocated),9.0,2.0,0.0,0.0,0.0,0.0,0.0
Los Angeles Kings,1967–68,Active,41.0,23.0,11.0,2.0,1.0,1.0,1.0
Minnesota North Stars,1967–68,1992–93 (Relocated),26.0,17.0,14.0,2.0,0.0,0.0,0.0
Philadelphia Flyers,1967–68,Active,41.0,33.0,43.0,8.0,16.0,8.0,2.0
Pittsburgh Penguins,1967–68,Active,41.0,24.0,24.0,4.0,6.0,4.0,3.0
St. Louis Blues,1967–68,Active,41.0,34.0,23.0,3.0,7.0,2.0,0.0
Buffalo Sabres,1970–71,Active,38.0,27.0,20.0,2.0,5.0,3.0,0.0
Vancouver Canucks,1970–71,Active,38.0,22.0,13.0,4.0,6.0,0.0,0.0
Atlanta Flames,1972–73,1979–80 (Relocated),8.0,6.0,0.0,0.0,0.0,0.0,0.0
New York Islanders,1972–73,Active,36.0,22.0,30.0,5.0,7.0,3.0,4.0
Kansas City Scouts,1974–75,1975–76 (Relocated),2.0,0.0,0.0,0.0,0.0,0.0,0.0
Washington Capitals,1974–75,Active,34.0,20.0,11.0,1.0,5.0,1.0,0.0
Cleveland Barons,1976–77,1977–78 (Defunct),2.0,0.0,0.0,0.0,0.0,0.0,0.0
Colorado Rockies,1976–77,1981–82 (Relocated),6.0,1.0,0.0,0.0,0.0,0.0,0.0
Edmonton Oilers,1979–80,Active,29.0,20.0,35.0,7.0,6.0,7.0,5.0
Hartford Whalers,1979–80,1996–97 (Relocated),18.0,8.0,1.0,0.0,0.0,0.0,0.0
Quebec Nordiques,1979–80,1994–95 (Relocated),16.0,9.0,6.0,0.0,0.0,0.0,0.0
Winnipeg Jets (Original),1979–80,1995–96 (Relocated),17.0,11.0,2.0,0.0,0.0,0.0,0.0
Calgary Flames,1980–81,Active,28.0,19.0,15.0,3.0,5.0,3.0,1.0
New Jersey Devils,1982–83,Active,26.0,18.0,22.0,5.0,7.0,4.0,3.0
San Jose Sharks,1991–92,Active,17.0,11.0,9.0,0.0,3.0,0.0,0.0
Ottawa Senators,1992–93,Active,16.0,11.0,8.0,1.0,4.0,1.0,0.0
Tampa Bay Lightning,1992–93,Active,16.0,5.0,5.0,1.0,2.0,1.0,1.0
Anaheim Ducks,1993–94,Active,15.0,6.0,11.0,2.0,1.0,2.0,1.0
Dallas Stars,1993–94,Active,15.0,12.0,14.0,2.0,7.0,2.0,1.0
Florida Panthers,1993–94,Active,15.0,3.0,3.0,1.0,0.0,1.0,0.0
Colorado Avalanche,1995–96,Active,13.0,10.0,18.0,2.0,8.0,2.0,2.0
Phoenix Coyotes,1996–97,Active,12.0,5.0,0.0,0.0,0.0,0.0,0.0
Carolina Hurricanes,1997–98,Active,11.0,4.0,7.0,2.0,3.0,2.0,1.0
Nashville Predators,1998–99,Active,10.0,4.0,0.0,0.0,0.0,0.0,0.0
Atlanta Thrashers,1999–2000,2010–2011 (Relocated),9.0,1.0,0.0,0.0,1.0,0.0,0.0
Columbus Blue Jackets,2000–01,Active,8.0,1.0,0.0,0.0,0.0,0.0,0.0
Minnesota Wild,2000–01,Active,8.0,3.0,2.0,0.0,1.0,0.0,0.0
Winnipeg Jets,2011–12,Active,1.0,0.0,0.0,0.0,0.0,0.0,0.0
