Year,MISS EARTH,Miss Air (1st Runner-up),Miss Water (2nd Runner-up),Miss Fire (3rd Runner-up)
2001.0,Catharina Svensson,Simone Régis,Margarita Kravtsova,Daniela Stucan
2002.0,Džejla Glavović,Winfred Adah Omwakwe,Sladjana Bozovic,Juliana Patricia Drossou
2003.0,Dania Prince,Priscila Poleselo Zandoná,Marianela Zeledón Bolaños,Marta Matyjasik
2004.0,Priscilla Meirelles,Murielle Celimene,Stéphanie Lesage,Yanina González
2005.0,Alexandra Braun Waldeck,Amell Santana de Jesús,Katarzyna Borowicz,Jovana Marjanovic
2006.0,Hil Yesenia Hernández,Amruta Patki,Catherine Untalan,Marianne Puglia
2007.0,Jessica Trisko,Pooja Chitgopekar,Silvana Santaella,Ángela Gómez Durán
2008.0,Karla Paula Henry,Miriam Odemba,Abigail Elizalde,Tatiane Alves
2009.0,Larissa Ramos,Sandra Inez Seifert,Jessica Barboza,Alejandra Echevarria
2010.0,Nicole Faria,Viktoria Shchukina,Watsaporn Wattanakoon,Yeidy Bosques
2011.0,Olga Álava,Drielly Bennettone,Athena Mae Imperial,Caroline Medina
2012.0,Tereza Fajksová,Stephany Stefanowitz,Osmariel Villalobos,Camilla Brant
