Average population (x 1000),Live births,Deaths,Natural change,Crude birth rate (per 1000),Crude death rate (per 1000),Natural change (per 1000)
1354.0,43500.0,"11,500",32000.0,32.1,8.5,23.6
1383.0,49900.0,"12,400",37500.0,36.1,9.0,27.1
1420.0,54100.0,"12,900",41200.0,38.1,9.1,29.0
1463.0,51400.0,"14,000",37400.0,35.1,9.6,25.6
1511.0,58300.0,"12,400",45900.0,38.6,8.2,30.4
1564.0,59400.0,"13,800",45600.0,38.0,8.8,29.2
1619.0,62300.0,"12,300",50000.0,38.5,7.6,30.9
1678.0,67100.0,"14,100",53000.0,40.0,8.4,31.6
1739.0,71500.0,"14,100",57400.0,41.1,8.1,33.0
1802.0,72400.0,"14,100",58300.0,40.2,7.8,32.4
1867.0,74825.0,"12,675",62150.0,40.1,6.8,33.3
1942.0,72377.0,"12,496",59881.0,37.3,6.4,30.8
2005.0,69505.0,"13,297",56208.0,34.7,6.6,28.0
2064.0,67382.0,"12,046",55336.0,32.6,5.8,26.8
2133.0,64454.0,"12,415",52039.0,30.2,5.8,24.4
2205.0,62969.0,"12,582",50387.0,28.6,5.7,22.9
2273.0,61594.0,"12,445",49149.0,27.1,5.5,21.6
2337.0,57031.0,"12,622",44409.0,24.4,5.4,19.0
2401.0,57503.0,"12,231",45272.0,23.9,5.1,18.9
2462.0,56203.0,"12,782",43421.0,22.8,5.2,17.6
2518.0,55694.0,"12,844",42850.0,22.1,5.1,17.0
2580.0,58188.0,"12,518",45670.0,22.6,4.9,17.7
2644.0,59313.0,"13,730",45583.0,22.4,5.2,17.2
2708.0,59593.0,"14,102",45491.0,22.0,5.2,16.8
2770.0,60419.0,"14,276",46143.0,21.8,5.2,16.7
2826.0,62866.0,"15,498",47368.0,22.2,5.5,16.8
2883.0,65065.0,"15,688",49377.0,22.6,5.4,17.1
2943.0,65830.0,"15,813",50017.0,22.4,5.4,17.0
3001.0,66698.0,"16,465",50233.0,22.2,5.5,16.7
3051.0,69786.0,"17,125",52661.0,22.9,5.6,17.3
3096.0,70324.0,"17,124",53200.0,22.7,5.5,17.2
3144.0,73682.0,"16,659",57023.0,23.4,5.3,18.1
3194.0,74225.0,"17,469",56756.0,23.2,5.5,17.8
3243.0,76436.0,"18,369",58067.0,23.6,5.7,17.9
3292.0,79767.0,"19,043",60724.0,24.2,5.8,18.4
3339.0,80306.0,"19,581",60725.0,24.1,5.9,18.2
3387.0,81192.0,"19,410",61782.0,24.0,5.7,18.2
3435.0,78492.0,"19,727",58765.0,22.9,5.7,17.1
3453.0,74707.0,"35,567 2",39140.0,21.6,10.3,11.3
3482.0,75250.0,"20,853",54397.0,21.6,6.0,15.6
3545.0,79882.0,"21,993",57889.0,22.5,6.2,16.3
3604.0,77825.0,"23,425",54400.0,21.6,6.5,15.1
3549.0,70581.0,"25,824",44757.0,19.9,7.3,12.6
3410.0,59041.0,"27,500",31541.0,17.3,8.1,9.2
3309.0,51143.0,"24,648",26495.0,15.5,7.4,8.0
3255.0,48960.0,"24,842",24118.0,15.0,7.6,7.4
3247.0,48134.0,"24,936",23198.0,14.8,7.7,7.1
3242.0,43929.0,"23,985",19944.0,13.5,7.4,6.2
3235.0,39366.0,"23,210",16156.0,12.2,7.2,5.0
3230.0,36502.0,"24,087",12415.0,11.3,7.5,3.8
3221.0,34276.0,"24,025",10251.0,10.6,7.5,3.2
3214.0,32065.0,"24,003",8062.0,9.9,7.4,2.5
3212.0,32229.0,"25,554",6675.0,10.0,8.0,2.1
3211.0,35793.0,"26,014",9779.0,11.1,8.1,3.0
3214.0,37520.0,"25,679",11841.0,11.7,8.0,3.7
3218.0,37499.0,"26,379",11120.0,11.7,8.2,3.5
3221.0,37639.0,"27,202",10437.0,11.7,8.4,3.2
3226.0,40105.0,"26,830",13275.0,12.4,8.3,4.1
3234.0,41185.0,"27,412",13773.0,12.7,8.5,4.3
3244.0,44466.0,"27,528",16938.0,13.7,8.5,5.2
3256.0,44825.0,"27,921",16904.0,13.8,8.6,5.1
3268.0,43447.0,"28,303",15417.0,13.3,8.6,4.7
3024.0,42333.0,"27,514",14819.0,14.0,9.1,4.9
