Province,Latin Americans 2001,% 2001,Latin Americans 2011,% 2011
Ontario,106835.0,0.9%,172560.0,1.4%
Quebec,59520.0,0.8%,116380.0,1.5%
Alberta,18745.0,0.6%,41305.0,1.2%
British Columbia,23885.0,0.6%,35465.0,0.8%
Manitoba,4775.0,0.4%,9140.0,0.8%
Saskatchewan,2010.0,0.2%,3255.0,0.3%
Nova Scotia,520.0,0.0%,1360.0,0.2%
New Brunswick,425.0,0.0%,1160.0,0.2%
Prince Edward Island,75.0,0.1%,235.0,0.2%
Newfoundland and Labrador,80.0,0.0%,185.0,0.0%
Yukon,45.0,0.1%,105.0,0.3%
Northwest Territories,60.0,0.2%,105.0,0.3%
Nunavut,10.0,0.0%,30.0,0.1%
