Game,December,Opponent,Score,Record
22.0,2.0,Toronto Maple Leafs,4 - 2,7-10-5
23.0,5.0,Chicago Black Hawks,2 - 2,7-10-6
24.0,8.0,@ Toronto Maple Leafs,0 - 0,7-10-7
25.0,9.0,Detroit Red Wings,4 - 2,8-10-7
26.0,13.0,@ Detroit Red Wings,2 - 1,8-11-7
27.0,15.0,@ Toronto Maple Leafs,2 - 1,8-12-7
28.0,16.0,Montreal Canadiens,4 - 2,9-12-7
29.0,21.0,@ Chicago Black Hawks,3 - 2,10-12-7
30.0,23.0,Toronto Maple Leafs,3 - 1,10-13-7
31.0,25.0,@ Detroit Red Wings,8 - 1,10-14-7
32.0,27.0,Chicago Black Hawks,3 - 2,11-14-7
33.0,29.0,@ Montreal Canadiens,6 - 3,11-15-7
34.0,31.0,Detroit Red Wings,1 - 0,11-16-7
