Driver,Starts,Finishes,Wins,Podiums,Stage wins,Points
Sébastien Loeb,13.0,13.0,8.0,12.0,96.0,276.0
Jari-Matti Latvala,13.0,12.0,2.0,6.0,26.0,171.0
Petter Solberg,13.0,12.0,0.0,8.0,51.0,169.0
Sébastien Ogier,13.0,12.0,2.0,6.0,36.0,167.0
Dani Sordo,13.0,12.0,0.0,5.0,25.0,150.0
Mikko Hirvonen,13.0,11.0,1.0,2.0,16.0,126.0
Matthew Wilson,13.0,13.0,0.0,0.0,0.0,74.0
Henning Solberg,13.0,11.0,0.0,0.0,1.0,45.0
Federico Villagra,8.0,8.0,0.0,0.0,1.0,36.0
Kimi Räikkönen,11.0,8.0,0.0,0.0,1.0,25.0
Mads Østberg,6.0,6.0,0.0,0.0,0.0,18.0
Khalid Al Qassimi,8.0,6.0,0.0,0.0,0.0,12.0
Per-Gunnar Andersson,6.0,6.0,0.0,0.0,0.0,8.0
Jari Ketomaa,7.0,5.0,0.0,0.0,0.0,6.0
Xavier Pons,7.0,7.0,0.0,0.0,0.0,6.0
Frigyes Turán,4.0,2.0,0.0,0.0,0.0,4.0
Juha Kankkunen,1.0,1.0,0.0,0.0,0.0,4.0
Martin Prokop,7.0,7.0,0.0,0.0,1.0,3.0
Dennis Kuipers,9.0,8.0,0.0,0.0,0.0,2.0
Ken Block,7.0,5.0,0.0,0.0,0.0,2.0
Juho Hänninen,2.0,1.0,0.0,0.0,0.0,2.0
Mark van Eldik,1.0,1.0,0.0,0.0,0.0,2.0
Patrik Sandell,7.0,7.0,0.0,0.0,0.0,2.0
Andreas Mikkelsen,3.0,3.0,0.0,0.0,0.0,1.0
Armindo Araújo,7.0,7.0,0.0,0.0,0.0,1.0
Aaron Burkart,5.0,5.0,0.0,0.0,0.0,1.0
