Round,Name,Circuit,Date,Winning driver,Winning car
1.0,Belgian Cup,Zolder,April 1,Dave Kennedy,Wolf WR4
2.0,International Gold Cup,Oulton Park,April 13,Dave Kennedy,Wolf WR4
3.0,Race of Champions,Brands Hatch,April 15,Guy Edwards,Fittipaldi F5A
4.0,Sun Trophy,Mallory Park,May 7,Rupert Keegan,Arrows A1
5.0,Anglia TV Trophy,Snetterton,May 20,Rupert Keegan,Arrows A1
6.0,Rivet Supply Trophy,Thruxton,May 28,Emilio de Villota,Lotus 78
7.0,International Whitsuntide Race,Zandvoort,June 4,Emilio de Villota,Lotus 78
8.0,Donington Formula 1 Trophy,Donington Park,June 24,Rupert Keegan,Arrows A1
9.0,Daily Express Formula 1 Trophy,Oulton Park,June 30,Emilio de Villota,Lotus 78
10.0,Nogaro Grand Prix,Nogaro,July 8,Emilio de Villota,Lotus 78
11.0,ATV Trophy,Mallory Park,July 29,Dave Kennedy,Wolf WR6
12.0,Fuji Tapes Trophy,Brands Hatch,August 27,Ricardo Zunino,Arrows A1
13.0,Radio Victory Trophy,Thruxton,September 9,Rupert Keegan,Arrows A1
14.0,Budweiser Trophy,Snetterton,September 23,Rupert Keegan,Arrows A1
15.0,Bradford & Bingley Trophy,Silverstone,October 7,Gordon Smiley,Surtees TS20
