Locale,Skip,W,L,PF,PA,Ends Won,Ends Lost,Blank Ends,Stolen Ends,Shot Pct.
Prince Edward Island,Suzanne Gaudet,10.0,1.0,89.0,61.0,50.0,42.0,10.0,13.0,80.0
Canada,Colleen Jones,8.0,3.0,81.0,60.0,49.0,41.0,14.0,10.0,79.0
Saskatchewan,Jan Betker,7.0,4.0,75.0,59.0,43.0,47.0,13.0,9.0,79.0
Newfoundland and Labrador,Cathy Cunningham,6.0,5.0,69.0,74.0,46.0,48.0,11.0,7.0,75.0
New Brunswick,Heidi Hanlon,5.0,6.0,70.0,80.0,48.0,49.0,9.0,8.0,74.0
Alberta,Deb Santos,5.0,6.0,74.0,73.0,47.0,46.0,8.0,12.0,78.0
Nova Scotia,Nancy McConnery,5.0,6.0,74.0,79.0,45.0,51.0,7.0,6.0,73.0
Quebec,Nathalie Gagnon,5.0,6.0,66.0,75.0,45.0,50.0,10.0,10.0,71.0
Ontario,Anne Dunn,5.0,6.0,67.0,66.0,48.0,47.0,8.0,14.0,75.0
British Columbia,Toni Fister,4.0,7.0,62.0,75.0,42.0,50.0,10.0,9.0,73.0
Manitoba,Barb Spencer,4.0,7.0,72.0,71.0,46.0,47.0,9.0,11.0,73.0
