Year(s),Commentator,Dual Commentator,Spokesperson,Channel
1994.0,Vadim Dolgachyov,No Dual Commentator,Arina Sharapova,Russia 1
1995.0,Unknown,No Dual Commentator,Marina Danielyan,Channel 1
1996.0,Vadim Dolgachyov,No Dual Commentator,Russia did not participate,Russia 1
1997.0,Philipp Kirkorov,No Dual Commentator,Arina Sharapova,Channel 1
1998.0,No Broadcast,No Dual Commentator,Russia did not participate,No Broadcast
1999.0,Aleksej Zhuravlev,Tatjana Godunova,Russia did not participate,Channel 1
2000.0,Aleksej Zhuravlev,Tatjana Godunova,Zhanna Agalakova,Channel 1
2001.0,Alexander Anatolievich,Konstantin Mikhailov,Larisa Verbickaya,Channel 1
2002.0,Yuriy Aksuta,Elena Batinova,Arina Sharapova,Channel 1
2003.0,Yuriy Aksuta,Elena Batinova,Yana Churikova,Channel 1
2004.0,Yuriy Aksuta,Elena Batinova,Yana Churikova,Channel 1
2005.0,Yuriy Aksuta,Elena Batinova,Yana Churikova,Channel 1
2006.0,Yuriy Aksuta,Tatjana Godunova,Yana Churikova,Channel 1
2007.0,Yuriy Aksuta,Elena Batinova,Yana Churikova,Channel 1
2008.0,Dmitriy Guberniyev,Olga Shelest,Oksana Fedorova,Russia 1
2010.0,Dmitriy Guberniyev,Olga Shelest,Oksana Fedorova,Russia 1
2011.0,Yuriy Aksuta,Yana Churikova,Dima Bilan,Channel 1
2012.0,Dmitriy Guberniyev,Olga Shelest,Oksana Fedorova,Russia 1
