Year,Country,Course,Location,Total score,To par [a ]
1860.0,Scotland,Prestwick Golf Club,"Prestwick , Scotland",174,n/a
1861.0,Scotland,Prestwick Golf Club,"Prestwick , Scotland",163,n/a
1862.0,Scotland,Prestwick Golf Club,"Prestwick , Scotland",163,n/a
1863.0,Scotland,Prestwick Golf Club,"Prestwick , Scotland",168,n/a
1864.0,Scotland,Prestwick Golf Club,"Prestwick , Scotland",167,n/a
1865.0,Scotland,Prestwick Golf Club,"Prestwick , Scotland",162,n/a
1866.0,Scotland,Prestwick Golf Club,"Prestwick , Scotland",169,n/a
1867.0,Scotland,Prestwick Golf Club,"Prestwick , Scotland",170,n/a
1868.0,Scotland,Prestwick Golf Club,"Prestwick , Scotland",154,n/a
1869.0,Scotland,Prestwick Golf Club,"Prestwick , Scotland",157,n/a
1870.0,Scotland,Prestwick Golf Club,"Prestwick , Scotland",149,n/a
1871.0,—,—,—,—,—
1872.0,Scotland,Prestwick Golf Club,"Prestwick , Scotland",166,n/a
1873.0,Scotland,St Andrews,"St Andrews , Scotland",179,n/a
1874.0,Scotland,Musselburgh Links,"Musselburgh , Scotland",159,n/a
1875.0,Scotland,Prestwick Golf Club,"Prestwick , Scotland",166,n/a
1876.0,Scotland,St Andrews,"St Andrews , Scotland",176,n/a
1877.0,Scotland,Musselburgh Links,"Musselburgh , Scotland",160,n/a
1878.0,Scotland,Prestwick Golf Club,"Prestwick , Scotland",157,n/a
1879.0,Scotland,St Andrews,"St Andrews , Scotland",169,n/a
1880.0,Scotland,Musselburgh Links,"Musselburgh , Scotland",162,n/a
1881.0,Scotland,Prestwick Golf Club,"Prestwick , Scotland",170,n/a
1882.0,Scotland,St Andrews,"St Andrews , Scotland",171,n/a
1883.0,Scotland,Musselburgh Links,"Musselburgh , Scotland",159,n/a
1884.0,Scotland,Prestwick Golf Club,"Prestwick , Scotland",160,n/a
1885.0,Scotland,St Andrews,"St Andrews , Scotland",171,n/a
1886.0,Scotland,Musselburgh Links,"Musselburgh , Scotland",157,n/a
1887.0,Scotland,Prestwick Golf Club,"Prestwick , Scotland",161,n/a
1888.0,Scotland,St Andrews,"St Andrews , Scotland",171,n/a
1889.0,Scotland,Musselburgh Links,"Musselburgh , Scotland",155,n/a
1890.0,England,Prestwick Golf Club,"Prestwick , Scotland",162,n/a
1891.0,Scotland,St Andrews,"St Andrews , Scotland",166,n/a
1892.0,England,Muirfield,"Gullane , Scotland",305,+21
1893.0,Scotland,Prestwick Golf Club,"Prestwick , Scotland",322,+38
1894.0,England,Royal St George's,"Sandwich , England",326,+46
1895.0,England,St Andrews,"St Andrews , Scotland",332,+44
1896.0,Jersey,Muirfield,"Gullane , Scotland",316,+32
1897.0,England,Royal Liverpool,"Hoylake , England",314,+26
1898.0,Jersey,Prestwick Golf Club,"Prestwick , Scotland",307,+23
1899.0,Jersey,Royal St George's,"Sandwich , England",310,+30
1900.0,England,St Andrews,"St Andrews , Scotland",309,+21
1901.0,Scotland,Muirfield,"Gullane , Scotland",309,+25
1902.0,Scotland,Royal Liverpool,"Hoylake , England",307,+19
1903.0,Jersey,Prestwick Golf Club,"Prestwick , Scotland",300,+16
1904.0,Scotland,Royal St George's,"Sandwich , England",296,+16
1905.0,Scotland,St Andrews,"St Andrews , Scotland",318,+30
1906.0,Scotland,Muirfield,"Gullane , Scotland",300,+16
1907.0,France,Royal Liverpool,"Hoylake , England",312,+24
1908.0,Scotland,Prestwick Golf Club,"Prestwick , Scotland",291,+7
1909.0,England,Royal Cinque Ports,"Deal , England",291,+3
1910.0,Scotland,St Andrews,"St Andrews , Scotland",299,+11
1911.0,Jersey,Royal St George's,"Sandwich , England",303,+23
1912.0,Jersey,Muirfield,"Gullane , Scotland",295,+11
1913.0,England,Royal Liverpool,"Hoylake , England",304,+16
1914.0,Jersey,Prestwick Golf Club,"Prestwick , Scotland",306,+22
1915.0,—,—,—,—,—
1916.0,—,—,—,—,—
1917.0,—,—,—,—,—
1918.0,—,—,—,—,—
1919.0,—,—,—,—,—
1920.0,Scotland,Royal Cinque Ports,"Deal , England",303,+15
1921.0,United States,St Andrews,"St Andrews , Scotland",296,+8
1922.0,United States,Royal St George's,"Sandwich , England",300,+20
1923.0,England,Royal Troon,"Troon , Scotland",295,+7
1924.0,United States,Royal Liverpool,"Hoylake , England",301,+13
1925.0,England,Prestwick Golf Club,"Prestwick , Scotland",300,+16
1926.0,United States,Royal Lytham & St Annes,"Lytham St Annes , England",291,+7
1927.0,United States,St Andrews,"St Andrews , Scotland",285,−3
1928.0,United States,Royal St George's,"Sandwich , England",292,+12
1929.0,United States,Muirfield,"Gullane , Scotland",292,+8
1930.0,United States,Royal Liverpool,"Hoylake , England",291,+3
1931.0,United States,Carnoustie,"Carnoustie , Scotland",296,+12
1932.0,United States,Prince's Golf Club,"Sandwich , England",283,−5
1933.0,United States,St Andrews,"St Andrews , Scotland",292,+4
1934.0,England,Royal St George's,"Sandwich , England",283,+3
1935.0,England,Muirfield,"Gullane , Scotland",283,−5
