Round,Pick,Player,Position,School/Club Team
8.0,203.0,Moses Denson,Running Back,Maryland-Eastern Shore
9.0,229.0,Steve Boekholder,Defensive End,Drake
10.0,255.0,Mike Oldham,Wide Receiver,Michigan
11.0,281.0,Jeff Welch,Defensive Back,Arkansas Tech
12.0,307.0,Don Bunce,Quarterback,Stanford
13.0,332.0,Frank Grant,Wide Receiver,Southern Colorado
15.0,365.0,Mike O'Quinn,Guard,McNeese State
15.0,385.0,Carl Taibi,Defensive End,Colorado
16.0,411.0,Steve Higginbotham,Defensive Back,Alabama
17.0,437.0,Kevin Clemente,Linebacker,Boston College
