Position,Club,Played,Points,Wins,Draws,Losses,Goals for,Goals against,Goal Difference
1.0,Deportivo Alavés,42.0,82.0,24.0,10.0,8.0,54.0,25.0,29.0
2.0,CF Extremadura,42.0,79.0,23.0,10.0,9.0,60.0,38.0,22.0
3.0,UD Las Palmas,42.0,73.0,19.0,16.0,7.0,72.0,47.0,25.0
4.0,Villarreal CF,42.0,73.0,19.0,16.0,7.0,51.0,38.0,13.0
5.0,UE Lleida,42.0,63.0,18.0,9.0,15.0,50.0,46.0,4.0
6.0,CD Badajoz,42.0,63.0,16.0,15.0,11.0,48.0,37.0,11.0
7.0,Sevilla FC,42.0,62.0,17.0,11.0,14.0,47.0,44.0,3.0
8.0,Rayo Vallecano,42.0,60.0,17.0,9.0,16.0,51.0,48.0,3.0
9.0,Atlético de Madrid B,42.0,60.0,16.0,12.0,14.0,64.0,49.0,15.0
10.0,SD Eibar,42.0,57.0,14.0,15.0,13.0,38.0,32.0,6.0
11.0,Hércules CF,42.0,56.0,14.0,14.0,14.0,46.0,43.0,3.0
12.0,CD Toledo,42.0,56.0,14.0,14.0,14.0,43.0,48.0,-5.0
13.0,CD Leganés,42.0,53.0,13.0,14.0,15.0,45.0,54.0,-9.0
14.0,Albacete,42.0,50.0,13.0,11.0,18.0,41.0,53.0,-12.0
15.0,CA Osasuna,42.0,50.0,13.0,11.0,18.0,36.0,42.0,-6.0
16.0,CD Ourense,42.0,49.0,12.0,13.0,17.0,37.0,46.0,-9.0
17.0,CD Numancia,42.0,47.0,10.0,17.0,15.0,33.0,50.0,-17.0
18.0,CD Logroñes,42.0,46.0,10.0,16.0,16.0,38.0,43.0,-5.0
19.0,Elche CF,42.0,45.0,11.0,12.0,19.0,45.0,56.0,-11.0
20.0,Real Jaén,42.0,45.0,9.0,18.0,15.0,39.0,52.0,-13.0
21.0,Xerez CD,42.0,38.0,8.0,14.0,20.0,24.0,49.0,-25.0
22.0,Levante UD,42.0,35.0,8.0,11.0,23.0,37.0,59.0,-22.0
