Rank,Heat,Cyclist,Nation,Result
1.0,6.0,Wendy Houvenaghel,Great Britain,3:28.443
2.0,7.0,Rebecca Romero,Great Britain,3:28.641
3.0,5.0,Lesya Kalitovska,Ukraine,3:31.942
4.0,5.0,Alison Shanks,New Zealand,3:34.312
5.0,6.0,Sarah Hammer,United States,3:35.471
6.0,4.0,Vilija Sereikaitė,Lithuania,3:36.063
7.0,7.0,Katie Mactier,Australia,3:38.178
8.0,2.0,Lada Kozlíková,Czech Republic,3:39.561
9.0,3.0,Karin Thürig,Switzerland,3:40.862
10.0,4.0,María Luisa Calle,Colombia,3:41.175
11.0,3.0,Verena Jooss,Germany,3:44.480
12.0,2.0,Svetlana Pauliukaitė,Lithuania,3:45.691
13.0,1.0,Evelyn García,El Salvador,3:56.849
