Year,Song name,Film name,Co-singer,Music director,Lyricist,Language
1980.0,"""Mohabbat Ek Wada Hai""",Kali Ghata,Asha Bhosle,Laxmikant-Pyarelal,Anand Bakshi,Hindi
1980.0,"""Bhaag Phoote""",Hum Nahi Sudhrenge,Dilraj Kaur & Bhushan Mehta,Ravindra Jain,Ravindra Jain,Hindi
1980.0,"""Yeh Kaisa Insaf""",Yeh Kaisa Insaf ?,Bhushan Mehta,Ravindra Jain,Ravindra Jain,Hindi
1980.0,"""Tere Dwar Khule To Mere Bhagya Khule""",Badrinath Dham,Mahendra Kapoor,Ravindra Jain,Ravindra Jain,Hindi
1980.0,"""Ankhen Kholo Jago Jago""",Badrinath Dham,Mohammad Rafi,Ravindra Jain,Ravindra Jain,Hindi
1980.0,"""Main To Bechoon Chakku Chhuri""",Badrinath Dham,Solo,Ravindra Jain,Ravindra Jain,Hindi
1980.0,"""Na Na Na Yeh Kya Karne Lage Ho""",Bombay 405 Miles,Solo,Kalyanji-Anandji,Indeevar,Hindi
1980.0,"""Khwab Ko Badal Denge""",Khwab,K. J. Yesudas,Ravindra Jain,Ravindra Jain,Hindi
1980.0,"""Ek Aas Liye Vishwash Liye""",Khwab,Suresh Wadkar & Jaspal Singh,Ravindra Jain,Ravindra Jain,Hindi
1980.0,"""Na Jane Aise Ho Gaya Kaise""",Sajan Mere Main Sajan Ki,K. J. Yesudas,Ravindra Jain,Ravindra Jain,Hindi
1980.0,"""Sajan Mere Main Sajan Ki""",Sajan Mere Main Sajan Ki,Solo,Ravindra Jain,Ravindra Jain,Hindi
1980.0,"""Mera Dil Kisne Liya""",Oh Bewafa,Suresh Wadkar,Vedpal Verma,Sawan Kumar,Hindi
1980.0,"""Hain Jo Yehi Pyar Ka Trailor""",Insaaf Ka Tarazu,Mahendra Kapoor & Asha Bhosle,Ravindra Jain,Ravindra Jain,Hindi
1980.0,"""Sau Sau Saal Jiyo Hamari Sasuji""",Sau Din Saas Ke,Asha Bhosle,Kalyanji-Anandji,Indeevar,Hindi
1980.0,"""Moti Palley Pai Gayi""",Sau Din Saas Ke,Mahendra Kapoor,Kalyanji-Anandji,Indeevar,Hindi
1980.0,"""Tu Is Tarah Se Meri Zindagi Mein Saamil Hai""",Aap To Aise Na The,Solo,Usha Khanna,Nida Fazli,Hindi
1980.0,"""Hum Tere Bina Bhi Nahin Ji Sakte""",Jwalamukhi,"Kishore Kumar , Asha Bhosle & Mahendra Kapoor",Kalyanji-Anandji,Anjaan,Hindi
1980.0,"""Mere Saiyanji Bade Harjaee""",Kaala Pani,Anuradha Paudwal,Laxmikant-Pyarelal,Anand Bakshi,Hindi
1979.0,"""Kharido Koi Kharido, Kharido Mujhe Kharido""",Raja Harishchandra,Mohammad Rafi,Ravindra Jain,Ravindra Jain,Hindi
1979.0,"""Naacho Re Gaao Re Naacho""",Raja Harishchandra,Mahendra Kapoor,Ravindra Jain,Ravindra Jain,Hindi
1979.0,"""Mein Rambha Roop Ki Rani""",Har Har Gange,Asha Bhosle,Ravindra Jain,Ravindra Jain,Hindi
1979.0,"""Gaddi Jaandi Yeh Chalanga Mar Di""",Dada,"Mohammad Rafi , Shailendra Singh & Dilraj Kaur",Usha Khanna,Ravindra Jain,Hindi
1979.0,"""Tere Chahne Wale Aaye Hain""",Aatish,"Mohammad Rafi , Asha Bhosle & Bhushan Mehta",Ravindra Jain,Ravindra Jain,Hindi
1979.0,"""Govinda Gopala"", ""Koi Mat Jariyo Ri Mere Bhag Pe""",Gopal Krishna,Solo,Ravindra Jain,Ravindra Jain,Hindi
1979.0,"""Neer Bharan Ka Karke Bahana""",Gopal Krishna,K. J. Yesudas,Ravindra Jain,Ravindra Jain,Hindi
1979.0,"""Aayo Phagun Hathilo""",Gopal Krishna,Jaspal Singh,Ravindra Jain,Ravindra Jain,Hindi
1979.0,"""Aashritha Valsalane""",Sujatha,Solo,Ravindra Jain,Mankombu,Malyalam
1979.0,"""Kaun Hai Aisa Jise Phoolon Se""",Raadha Aur Seeta,K. J. Yesudas,Ravindra Jain,Ravindra Jain,Hindi
1979.0,"""Bheega Bheega Mausam Aaya"", ""Phir Wohi Sawan""",Bhayanak,Solo,Usha Khanna,Indeevar,Hindi
1979.0,"""O Saiyya Mein, Saiyya Mein Aayi Ghar""",Bhayanak,Suresh Wadkar,Usha Khanna,Indeevar,Hindi
1979.0,"""Aayi Hain , Aayi Hain Phir Se Baharein""",Ghar Ki Laaj,Solo,Ravindra Jain,Ravindra Jain,Hindi
1979.0,"""Yeh Rang Bhare Din Umang-Bhare Din""",Man Ka Aangan,Solo,Ravindra Jain,Ravindra Jain,Hindi
1979.0,"""Jai Bhawani Jai Ho Bhawani""",Ladke Baap Se Badke,Solo,Ravindra Jain,Ravindra Jain,Hindi
1978.0,"""Radha Thumak Thumak Mat Chalna""",Toofani Takker,Solo,C. Ramchandra,Ram Rasila,Hindi
1978.0,"""O Ji O Bhartar Ji""",Rangilo Rajshthan,O Vyas,Babu Singh,Bharat Vyas,Rajasthani
1978.0,"""Yeh To Kal Ki Hai Baat""",Sone Ka Dil Lohe Ke Haath,Solo,Usha Khanna,Asad Bhopali,Hindi
1978.0,"""Ankhiyon Ke Jharokhon Se −1, −2, −3""",Ankhiyon Ke Jharokhon Se,Solo,Ravindra Jain,Ravindra Jain,Hindi
1978.0,"""Ek Din Tum Bahut Bade Banoge"", ""Kai Din Se Mujhe""",Ankhiyon Ke Jharokhon Se,Shailendra Singh,Ravindra Jain,Ravindra Jain,Hindi
1978.0,"""Dohavali"",""Dohavali (Non Stop Singing)""",Ankhiyon Ke Jharokhon Se,Jaspal Singh,Ravindra Jain,Ravindra Jain,Hindi
