Position,Team,Points,Played,Drawn,Lost,Against,Difference
1.0,São Paulo,36.0,20.0,2.0,1.0,20.0,50
2.0,Corinthians,31.0,20.0,3.0,3.0,24.0,32
3.0,Palmeiras,29.0,20.0,7.0,2.0,17.0,30
4.0,Portuguesa,25.0,20.0,5.0,5.0,22.0,22
5.0,Jabaquara,20.0,20.0,2.0,9.0,65.0,- 17
6.0,Santos,18.0,20.0,2.0,10.0,46.0,- 12
7.0,Ypiranga-SP,17.0,20.0,1.0,11.0,44.0,- 7
8.0,São Paulo Railway,14.0,20.0,2.0,12.0,52.0,- 15
9.0,Juventus,12.0,20.0,2.0,13.0,45.0,- 11
10.0,Comercial-SP,11.0,20.0,3.0,13.0,60.0,- 28
11.0,Portuguesa Santista,7.0,20.0,3.0,15.0,69.0,- 44
