Artist,Title,Label,Type,Year
Overkill,Power In Black,Blood Metal Music,Cassette,1983.0
Overkill,Overkill,Azra/ Metal Storm,E.P. Record,1984.0
Overkill,Feel The Fire,Megaforce,L.P. Record,1985.0
Overkill,Taking Over,Megaforce/ Atlantic,L.P. Record/ Compact Disc,1987.0
Overkill,!!!Fuck You!!!,Megaforce/ Caroline,E.P. Record/ Compact Disc,1987.0
Rat Skates/ Bone To Bone,Some Stuff I Recorded,Independent,Cassette,1988.0
Eric Cook (Koch),Ten Mile Road To Hell,Wild Turkey,Cassette,1989.0
Bomb Squad,Live at Suite 16,Demolition,Cassette,1991.0
Overkill,Fuck You and Then Some,Megaforce,Cassette/ Compact Disc,1996.0
Overkill,Fuck You and Then Some/ Feel The Fire,Megaforce,Compact Disc,2005.0
Lubricunts,Sorry About Your Roof,Vector/ Hottentots,Download/ Rhapsody/ iTunes,2007.0
