Driver,Constructor,Laps,Time/retired,Grid
Alberto Ascari,Ferrari,80.0,2:42:39.3,3.0
José Froilán González,Ferrari,80.0,+24.6,4.0
Felice Bonetto Nino Farina,Alfa Romeo,79.0,+1 lap,7.0
Luigi Villoresi,Ferrari,79.0,+1 lap,5.0
Piero Taruffi,Ferrari,78.0,+2 laps,6.0
André Simon,Simca-Gordini,74.0,+6 laps,11.0
Louis Rosier,Talbot-Lago - Talbot,73.0,+7 laps,15.0
Yves Giraud-Cabantous,Talbot-Lago - Talbot,72.0,+8 laps,14.0
Franco Rol,OSCA,67.0,+13 laps,18.0
Juan Manuel Fangio,Alfa Romeo,39.0,Engine,1.0
Maurice Trintignant,Simca-Gordini,29.0,Engine,12.0
Robert Manzon,Simca-Gordini,29.0,Engine,13.0
Louis Chiron,Talbot-Lago - Talbot,23.0,Ignition,17.0
Pierre Levegh,Talbot-Lago - Talbot,9.0,Engine,20.0
Jacques Swaters,Talbot-Lago - Talbot,7.0,Overheating,22.0
Nino Farina,Alfa Romeo,6.0,Engine,2.0
Johnny Claes,Talbot-Lago - Talbot,4.0,Oil pump,21.0
Toulo de Graffenried,Alfa Romeo,1.0,Compressor,9.0
Peter Whitehead,Ferrari,1.0,Magneto,19.0
Chico Landi,Ferrari,0.0,Transmission,16.0
Reg Parnell,BRM,0.0,Non Starter,8.0
Ken Richardson,BRM,0.0,Non Starter,10.0
