Team,Seasons,Regular season,Tournament,Total
Baylor,1997–present,9.0,6.0,15.0
Colorado,1997–2011,0.0,0.0,0.0
Iowa State,1997–present,0.0,0.0,0.0
Kansas,1997–present,0.0,0.0,0.0
Kansas State,1997–present,0.0,0.0,0.0
Missouri,1997–2012,0.0,0.0,0.0
Nebraska,1997–2011,0.0,0.0,0.0
Oklahoma,1997–present,0.0,0.0,0.0
Oklahoma State,1997–present,1.0,1.0,2.0
TCU,2013–present,0.0,0.0,0.0
Texas,1997–present,8.0,9.0,17.0
Texas A&M,1997–2012,1.0,1.0,2.0
Texas Tech,1997–present,2.0,0.0,2.0
West Virginia,2013–present,0.0,0.0,0.0
