Game,February,Opponent,Score,Record
50.0,1.0,New York Islanders,7 - 6,16-25-9
51.0,4.0,@ St. Louis Blues,2 - 2,16-25-10
52.0,5.0,Colorado Rockies,6 - 3,17-25-10
53.0,8.0,Minnesota North Stars,3 - 0,18-25-10
54.0,9.0,@ Buffalo Sabres,2 - 0,18-26-10
55.0,11.0,@ Toronto Maple Leafs,3 - 2,18-27-10
56.0,12.0,Montreal Canadiens,5 - 3,18-28-10
57.0,15.0,Vancouver Canucks,6 - 3,19-28-10
58.0,19.0,Colorado Rockies,4 - 4,19-28-11
59.0,22.0,@ Chicago Black Hawks,3 - 2,19-29-11
60.0,23.0,Chicago Black Hawks,6 - 2,20-29-11
61.0,25.0,@ Montreal Canadiens,6 - 3,21-29-11
62.0,27.0,Atlanta Flames,5 - 3,21-30-11
