Driver,Constructor,Laps,Time/Retired,Grid
Michael Schumacher,Ferrari,70.0,1:30:18.133,2.0
Fernando Alonso,Renault,70.0,+8.329,1.0
Rubens Barrichello,Ferrari,70.0,+31.622,10.0
Jarno Trulli,Renault,70.0,+32.082,5.0
Jenson Button,BAR - Honda,70.0,+32.482,4.0
David Coulthard,McLaren - Mercedes,70.0,+35.520,3.0
Kimi Räikkönen,McLaren - Mercedes,70.0,+36.230,9.0
Juan Pablo Montoya,Williams - BMW,70.0,+43.419,6.0
Mark Webber,Jaguar - Cosworth,70.0,+52.394,12.0
Marc Gené,Williams - BMW,70.0,+58.166,8.0
Christian Klien,Jaguar - Cosworth,69.0,+1 Lap,13.0
Giancarlo Fisichella,Sauber - Petronas,69.0,+1 Lap,15.0
Felipe Massa,Sauber - Petronas,69.0,+1 Lap,16.0
Cristiano da Matta,Toyota,69.0,+1 Lap,11.0
Olivier Panis,Toyota,68.0,+2 Laps,14.0
Nick Heidfeld,Jordan - Ford,68.0,+2 Laps,17.0
Giorgio Pantano,Jordan - Ford,67.0,+3 Laps,18.0
Gianmaria Bruni,Minardi - Cosworth,66.0,Gearbox,19.0
Zsolt Baumgartner,Minardi - Cosworth,31.0,Spin,20.0
Takuma Sato,BAR - Honda,15.0,Engine,7.0
