Pick,Player,Country of origin*,PBA team,College
21.0,Dave Bautista,Philippines,Red Bull Thunder,Angeles
22.0,Fernan Dino Manuel,Philippines,Shell Turbo Chargers,San Beda
23.0,Marlon Piodo,Philippines,Barangay Ginebra Kings,San Jose
24.0,Ramon Jose,Philippines,Pop Cola Panthers,La Salle-Manila
25.0,June Longalong,Philippines,Mobiline Phone Pals,Perpetual Help
26.0,Michael Almonte,Philippines,Sta. Lucia Realtors,San Jose
27.0,Allan Salangsang,Philippines,Tanduay Rhum Masters,Letran
28.0,Michael Garcia,Philippines,Alaska Aces,Letran
29.0,Paul Guerrero,Philippines,Purefoods Tender Juicy Hotdogs,Letran
30.0,Jeremy Anciete,United States,San Miguel Beermen,North Park
