Name,Type,Elevation (m),Elevation (ft),Last eruption ( VEI )
Mount Baker,Stratovolcano,3286.0,10781.0,1880 (2)
Glacier Peak,Stratovolcano,3213.0,10541.0,1700 ± 100 years (2)
Mount Rainier,Stratovolcano,4392.0,14411.0,1894 (1?)
Goat Rocks,Stratovolcano,2494.0,8184.0,"730,000 BP"
Mount Adams,Stratovolcano,3742.0,12277.0,950 AD? (2)
Mount St. Helens,Stratovolcano,2549.0,8363.0,2008 (2)
Indian Heaven,es Shield volcano,1806.0,5925.0,6250 BC ± 100 years
Silver Star Mountain,es Shield volcano ?,1330.0,4364.0,20 million years ago
West Crater,Volcanic field,1329.0,4360.0,5750 BC? (2?)
Trout Creek Hill,Shield volcano,893.0,2930.0,"340,000 BP"
