Name,Team,Laps,Time/Retired,Grid
Mark Winterbottom,Ford Performance Racing,50.0,53:34.4946,1.0
Garth Tander,Holden Racing Team,50.0,+ 1.6s,3.0
Jamie Whincup,Team Vodafone,50.0,+ 4.0s,7.0
Craig Lowndes,Team Vodafone,50.0,+ 5.1s,5.0
Rick Kelly,HSV Dealer Team,50.0,+ 14.3s,6.0
Will Davison,Jim Beam Racing,50.0,+ 14.6s,8.0
James Courtney,Stone Brothers Racing,50.0,+ 22.3s,20.0
Todd Kelly,Jack Daniel's Racing,50.0,+ 25.0s,9.0
Steven Richards,Ford Performance Racing,50.0,+ 25.1s,4.0
Shane Van Gisbergen,Stone Brothers Racing,50.0,+ 28.3s,27.0
Andrew Jones,Brad Jones Racing,50.0,+ 32.3s,14.0
Fabian Coulthard,Glenfords Racing,50.0,+ 32.7s,17.0
Steven Johnson,Jim Beam Racing,50.0,+ 33.7s,13.0
Jason Bright,Britek Motorsport,50.0,+ 38.7s,29.0
Greg Murphy,Tasman Motorsport,50.0,+ 39.2s,12.0
Michael Caruso,Garry Rogers Motorsport,50.0,+ 39.7s,28.0
Marcus Marshall,Britek Motorsport,50.0,+ 47.7s,22.0
Andrew Thompson,Paul Weel Racing,50.0,+ 47.9s,26.0
Shane Price,Jack Daniel's Racing,50.0,+ 52.5s,18.0
Tony D'Alberto,Rod Nash Racing,49.0,+ 1 lap,21.0
Michael Patrizi,Ford Rising Stars Racing,49.0,+ 1 lap,19.0
Paul Dumbrell,HSV Dealer Team,49.0,+ 1 lap,15.0
Lee Holdsworth,Garry Rogers Motorsport,49.0,+ 1 lap,24.0
Kayne Scott,Team Kiwi Racing,49.0,+ 1 lap,23.0
Paul Morris,Team Sirromet Wines,45.0,+ 5 laps,16.0
Russell Ingall,Supercheap Auto Racing,17.0,Steering,11.0
Cameron McConville,Brad Jones Racing,17.0,Collision,10.0
Mark Skaife,Holden Racing Team,0.0,Collision,2.0
Jason Richards,Tasman Motorsport,0.0,Engine,25.0
