Place,Team,Played,Draw,Lost,Goals Scored,Goals Conceded,Points
1.0,C.D. Águila,18.0,5.0,2.0,47.0,20.0,38.0
2.0,Alianza F.C.,18.0,3.0,6.0,38.0,24.0,30.0
3.0,C.D. Municipal Limeño,18.0,6.0,4.0,24.0,16.0,30.0
4.0,A.D. Isidro Metapán,18.0,5.0,5.0,30.0,16.0,29.0
5.0,C.D. FAS,18.0,8.0,3.0,29.0,18.0,29.0
6.0,C.D. Luis Ángel Firpo,18.0,5.0,5.0,22.0,22.0,29.0
7.0,C.D. Atlético Balboa,18.0,7.0,6.0,19.0,24.0,22.0
8.0,San Salvador F.C.,18.0,5.0,10.0,23.0,37.0,14.0
9.0,C.D. Dragón,18.0,3.0,12.0,22.0,44.0,12.0
10.0,Atlético Marte,18.0,5.0,11.0,13.0,45.0,7.0
