1st built,1913 Class,W.A.,No. Built,Builder,Date,LNER Class
474.0,—,2-2-2,2.0,Neilson,1876,—
476.0,M,4-4-0,12.0,Neilson (8) NBR Cowlairs (4),1877–79,D27/D28
494.0,P,4-4-0T,3.0,Neilson,1879,D50
72.0,R,4-4-0T,30.0,NBR Cowlairs,1880–84,D51
157.0,P,0-4-2T,6.0,NBR Cowlairs,1877,G8
100.0,C,0-6-0,32.0,NBR Cowlairs (12) Neilson (20),1876–77,J32
34.0,D,0-6-0,13.0,NBR Cowlairs,1879,J34
497.0,D,0-6-0,88.0,NBR Cowlairs (83) Dübs (5),1879–83,J34
165.0,R,0-6-0T,25.0,NBR Cowlairs,1875–78,J82
546.0,G,0-4-0T,2.0,Neilson,1882,Y9
