Rank,Peak,Country,Island,Elevation (m),Prominence (m),Col (m)
1.0,Puncak Jaya (Carstensz Pyramid),Indonesia,New Guinea,4884.0,4884.0,0.0
2.0,Mount Arfak,Indonesia,New Guinea,2940.0,2761.0,179.0
3.0,Puncak Mandala,Indonesia,New Guinea,4760.0,2760.0,2000.0
4.0,Mount Kobowre,Indonesia,New Guinea,3750.0,2217.0,1533.0
5.0,Mount Gauttier,Indonesia,New Guinea,2230.0,2007.0,223.0
6.0,Mount Wondiwoi,Indonesia,New Guinea,2180.0,1985.0,195.0
7.0,Bon Irau,Indonesia,New Guinea,2500.0,1900.0,600.0
8.0,Mount Cycloop,Indonesia,New Guinea,2000.0,1876.0,124.0
9.0,Undundi-Wandandi,Indonesia,New Guinea,3640.0,1740.0,1900.0
10.0,Mount Kumawa,Indonesia,New Guinea,1680.0,1636.0,44.0
11.0,Angemuk,Indonesia,New Guinea,3949.0,1565.0,2384.0
12.0,Deyjay,Indonesia,New Guinea,3340.0,1555.0,1785.0
