Week,Date,Opponent,Result,Attendance
1.0,"September 17, 1961",at Baltimore Colts,L 27-24,54259.0
2.0,"September 23, 1961",Chicago Bears,L 21-17,53315.0
3.0,"October 1, 1961",Pittsburgh Steelers,W 24-14,40707.0
4.0,"October 8, 1961",at San Francisco 49ers,L 35-0,59004.0
5.0,"October 15, 1961",at Detroit Lions,L 14-13,45873.0
6.0,"October 22, 1961",at New York Giants,L 24-14,63053.0
7.0,"October 29, 1961",Detroit Lions,L 28-10,49123.0
8.0,"November 5, 1961",Minnesota Vikings,W 31-17,38594.0
9.0,"November 12, 1961",San Francisco 49ers,W 17-7,63766.0
10.0,"November 19, 1961",at Green Bay Packers,L 35-17,38669.0
11.0,"November 26, 1961",at Chicago Bears,L 28-24,45965.0
12.0,"December 3, 1961",at Minnesota Vikings,L 42-21,30068.0
13.0,"December 9, 1961",Baltimore Colts,W 34-17,41268.0
14.0,"December 17, 1961",Green Bay Packers,L 24-17,49169.0
