Draw,Artist,Song,Composer - Lyricist,Points,Place
1.0,West Side Family,"""Jehonë""","Dr. Flori, Klodian Qafoku",118.0,3.0
2.0,Soni Malaj,"""Zona zero""",Florian Mumajesi,44.0,16.0
3.0,Juliana Pasha & Luiz Ejlli,"""Nje jetë""","Shpetim Saraçi, Turian Hyskaj",119.0,2.0
4.0,Kujtim Prodani,"""Nostalgji""","Kujtim Prodani, Agim Doci",24.0,18.0
5.0,Emi Bogdo,"""Kur buzet henen e kafshojn""","Emi Bogdo, Klodian Qafoku",43.0,17.0
6.0,Erga Halilaj,"""Dikush mungon""","Kristi Popa, Florion Zyko",63.0,11.0
7.0,Marjeta Billo,"""Era e tokës""","Adrian Hila, Pandi Laço",106.0,5.0
8.0,Adelina Thaci,"""Oret e fundit""",Alfred Kacinari,91.0,8.0
9.0,Rovena Dilo & Eugent Bushpepa,"""S'jam balade""","Armend Rexhepagiqi, Aida Baraku",60.0,12.0
10.0,Dorina Garuci,"""Dite një jetë""","Dorian Nini, Pandi Laço",92.0,7.0
11.0,Endri & Stefi Prifti,"""Ti bere faj""","Josif Minga, Skender Rusi",91.0,8.0
12.0,Kejsi Tola,"""Më merr në ëndërr""","Edmond Zhulali, Agim Doçi",126.0,1.0
13.0,Era Rusi,"""Shpirt i humbur""","Arsen Nasi & Bledar Skenderi, Irma Libohova",50.0,15.0
14.0,Julian Lekoçaj,"""Nuk je ti""",Julian Lekoçaj,17.0,20.0
15.0,Shpat Kasapi,"""Aromë mediterane""","Gent Myftarai, Pandi Laço",22.0,19.0
16.0,Evis Mula,"""Unë jam dashuria""","Luan Zhegu, Agim Doçi",91.0,8.0
17.0,Burn,"""Jam i pari i jettes sime""","Stivart Cela & Renis Gjoka, Big Basta",96.0,6.0
18.0,Vedat Ademi,"""Po me prite ti""","Kledi Bahiti, Alban Male",51.0,14.0
19.0,Agim Poshka,"""Fajtor për ngrohjen globale""","Agim Poshka, Olsen Maze",56.0,13.0
20.0,Besa Kokedhima,"""Ajer""","Alban Male, Olti Curri",109.0,4.0
